;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;321239;130561;63476;30129;162601;80554;32978;28077;15094;15315;1446;2029;841;150
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;1;1;1;1;;;;;;;;;;
3;6 лет;1959;1954;1032;1878;5;;;;;;;18;7;
4;7 лет;26897;26897;13366;24797;;;;;;;;214;102;18
5;8 лет;32711;32708;15809;3330;3;3;3;;;;;277;115;25
6;9 лет;33718;33630;16262;106;88;41;86;;;;;276;112;21
7;10 лет;33469;30852;15055;10;2617;1383;2156;;;;;253;115;12
8;11 лет;33271;4186;1828;2;29085;14641;26243;;;;;209;75;15
9;12 лет;33539;272;94;1;33267;16447;4043;;;;;210;90;11
10;13 лет;32170;38;19;;32129;16077;402;3;;;3;166;64;16
11;14 лет;31430;11;5;3;31412;15592;22;7;6;6;28;168;71;19
12;15 лет;30723;8;3;1;29383;14469;6;1332;739;1268;125;132;54;9
13;16 лет;17611;1;;;4032;1690;2;13578;7404;12216;314;70;22;4
14;17 лет;11728;3;2;;349;120;;11376;6104;1341;296;31;10;
15;18 лет;1058;;;;69;28;;989;495;90;146;5;4;
16;19 лет;104;;;;16;6;;88;43;25;76;;;
17;20 лет;70;;;;20;5;;50;23;26;47;;;
18;21 год;61;;;;11;2;;50;22;25;32;;;
19;22 года;69;;;;8;3;1;61;30;27;41;;;
20;23 года;32;;;;8;3;;24;10;13;18;;;
21;24 года;42;;;;8;2;;34;18;23;26;;;
22;25 лет;37;;;;3;;;34;11;23;15;;;
23;26 лет;59;;;;7;2;;52;23;30;31;;;
24;27 лет;53;;;;7;2;1;46;12;29;23;;;
25;28 лет;56;;;;10;2;1;46;20;21;25;;;
26;29 лет;50;;;;7;4;2;43;16;23;23;;;
27;30–34 года;158;;;;31;19;5;127;53;68;83;;;
28;35–39 лет;88;;;;12;6;3;76;34;33;52;;;
29;40 лет и старше;75;;;;14;7;2;61;31;28;42;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
