;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);47804;22368;18636;8;67;3;10;13681;6761;4688;6106;7983;17;54;39255;
2;в том числе:       руководящие работники – всего;3183;2877;2368;1;20;;4;245;129;25;759;472;3;2;2891;
3;из них:             директор;839;806;739;1;7;;2;30;30;;197;141;;1;707;
4;заместители директора;2080;1867;1527;;10;;2;153;87;19;532;309;;1;1925;
5;руководитель филиала;29;24;19;;;;;5;1;;1;3;;;27;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);24625;17228;15997;7;45;3;6;6912;6317;69;5330;7493;8;52;22457;23199.6
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);19527;14152;13358;5;39;3;5;5117;4796;36;4832;6593;8;46;17735;18307.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5984;3144;3004;;;;;2765;2697;3;1333;2133;2;5;5966;5828.5
9;русского языка и литературы;2192;1952;1920;;5;;;224;210;1;681;746;1;9;2158;
10;языка народов России и литературы;36;30;30;;;;;6;5;;12;10;;1;36;
11;истории, экономики, права, обществознания;1185;1082;1024;1;6;1;;86;72;3;291;393;;1;995;
12;информатики;577;492;444;1;1;;;78;64;;192;190;;;471;
13;физики;528;506;460;;4;2;1;21;14;1;146;165;;2;442;
14;математики;1705;1542;1465;;7;;2;142;129;2;421;587;2;7;1630;
15;химии;397;388;362;;3;;1;7;5;1;139;119;;;389;
16;географии;570;529;498;;1;;;38;31;1;175;200;1;;512;
17;биологии;549;514;481;;4;;;32;27;;175;180;;1;526;
18;иностранных языков;1834;1657;1585;2;6;;1;161;148;;415;623;;6;1753;
19;из них:                         английского языка;1760;1582;1500;2;4;;1;155;140;;384;595;;6;1683;
20;немецкого языка;42;39;36;;1;;;3;3;;15;9;;;39;
21;французского языка;10;10;10;;;;;;;;3;3;;;9;
22;китайского языка;10;10;8;;;;;;;;1;5;;;10;
23;физической культуры;1474;816;754;;1;;;629;600;6;335;492;;6;876;
24;труда (технологии);1001;609;532;;;;;362;281;10;204;338;;4;655;
25;музыки и пения;387;194;179;1;;;;184;171;3;77;124;1;3;361;
26;изобразительного искусства, черчения;310;159;141;;;;;142;128;1;67;107;;;301;
27;основ безопасности и защиты Родины;223;169;142;;;;;49;40;;60;52;;;113;
28;основ духовно-нравственной культуры народов России;7;4;4;;;;;2;2;;;;;;5;
29;прочих предметов;568;365;333;;1;;;189;172;4;109;134;1;1;546;
30;учителя-логопеды;422;378;366;;1;;;35;26;;107;91;;;420;397.4
31;учителя-дефектологи;253;207;191;;;;;44;35;;26;38;;;252;235.7
32;из них:                   олигофренопедагог;89;71;69;;;;;16;11;;10;15;;;89;90.3
33;тифлопедагог;1;1;1;;;;;;;;1;;;;1;2
34;сурдопедагог;;;;;;;;;;;;;;;;1
35;социальные педагоги;610;372;292;1;;;;214;171;8;48;103;;1;594;566.6
36;педагоги дополнительного образования;672;336;263;;;;;287;228;6;60;82;;;512;601.8
37;педагоги-психологи;824;740;680;1;2;;1;71;59;1;118;170;;1;789;767.1
38;воспитатели;1024;374;317;;;;;589;541;7;80;256;;4;977;922.5
39;мастера производственного обучения;17;7;5;;;;;9;4;1;;5;;;3;34.5
40;тьюторы;113;65;54;;;;;43;39;2;2;8;;;110;106.7
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;206;138;114;;;;;60;51;1;4;31;;;193;166.8
42;другие;957;459;357;;3;;;443;367;7;53;116;;;872;875.1
43;учебно-вспомогательный персонал;2728;1106;157;;2;;;1021;156;280;7;16;;;2370;
44;иной персонал;17268;1157;114;;;;;5503;159;4314;10;2;6;;11537;
45;из них:             ассистент (помощник);25;3;1;;;;;4;;3;;;;;20;34.2
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;558;179;146;;;;;352;327;1;47;148;;;555;
49;из них воспитатели;494;147;113;;;;;322;299;1;36;136;;;494;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;162;150;139;;;;;9;7;;47;40;;;135;
51;из них учителя;144;137;128;;;;;5;4;;36;30;;;121;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;2678;1791;1638;;2;;;715;676;4;466;756;;;2055;
53;из них учителя - всего;2136;1409;1293;;1;;;561;536;3;382;634;;;1585;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;434;223;207;;;;;167;161;;70;119;;;324;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1449;930;865;;1;;;458;428;2;235;408;;;1226;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;106;93;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;2469;;;;;;;;;;;;;;;
58;из них директор;751;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;20840;;;;;;;;;;;;;;;
60;из них учителя;15613;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);113;;;;;;;;;;;;;;;
62;из них женщин;95;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;15;;;;;;;;;;;;;;;
64;медицинские сестры;98;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;17433;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;15428;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;13841;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;1587;;;;;;;;;;;;;;;
