;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);47804;3093;2043;4686;5392;5503;27087;27247;2951;1763;3049;2739;2417;14328;20557
2;в том числе:       руководящие работники – всего;3183;23;30;133;261;383;2353;2614;67;62;192;231;283;1779;569
3;из них:             директор;839;1;2;14;48;73;701;831;3;7;38;55;80;648;8
4;заместители директора;2080;18;25;106;193;261;1477;1711;60;48;144;169;195;1095;369
5;руководитель филиала;29;1;1;4;3;3;17;21;1;2;4;2;1;11;8
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);24625;2018;1155;2392;2552;2409;14099;24111;2766;1626;2774;2466;2103;12376;514
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);19527;1405;817;1672;1855;1808;11970;19254;1723;1095;1965;1880;1665;10926;273
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5984;513;307;527;459;433;3745;5899;566;364;600;479;402;3488;85
9;русского языка и литературы;2192;126;70;125;171;186;1514;2163;137;88;161;181;179;1417;29
10;языка народов России и литературы;36;3;;2;2;2;27;34;3;;2;2;1;26;2
11;истории, экономики, права, обществознания;1185;99;61;156;131;147;591;1164;133;82;158;127;131;533;21
12;информатики;577;35;21;53;89;81;298;563;46;28;59;83;86;261;14
13;физики;528;21;14;30;52;34;377;524;32;20;45;48;30;349;4
14;математики;1705;91;52;110;123;183;1146;1691;121;87;123;134;152;1074;14
15;химии;397;18;10;17;21;32;299;392;20;12;22;26;28;284;5
16;географии;570;33;20;33;35;34;415;559;38;25;34;38;35;389;11
17;биологии;549;23;16;36;40;51;383;543;36;20;49;39;49;350;6
18;иностранных языков;1834;143;70;202;305;247;867;1809;168;117;247;278;213;786;25
19;из них:                         английского языка;1760;137;68;198;290;241;826;1735;161;113;243;265;208;745;25
20;немецкого языка;42;1;1;2;6;2;30;42;2;1;4;4;1;30;
21;французского языка;10;;;;1;1;8;10;;;;1;1;8;
22;китайского языка;10;4;;2;3;1;;10;4;2;;3;1;;
23;физической культуры;1474;137;91;186;179;150;731;1457;167;103;204;195;140;648;17
24;труда (технологии);1001;49;25;71;94;83;679;984;89;60;102;108;89;536;17
25;музыки и пения;387;43;21;32;29;33;229;383;55;24;40;30;29;205;4
26;изобразительного искусства, черчения;310;23;11;26;26;28;196;304;26;12;32;29;22;183;6
27;основ безопасности и защиты Родины;223;18;7;8;17;16;157;217;28;11;16;18;21;123;6
28;основ духовно-нравственной культуры народов России;7;1;;1;1;1;3;7;2;1;1;;1;2;
29;прочих предметов;568;29;21;57;81;67;313;561;56;41;70;65;57;272;7
30;учителя-логопеды;422;32;19;47;32;72;220;420;61;24;52;41;57;185;2
31;учителя-дефектологи;253;21;21;37;47;22;105;247;31;42;35;38;20;81;6
32;из них:                   олигофренопедагог;89;5;7;12;25;3;37;89;13;11;13;17;3;32;
33;тифлопедагог;1;;;;;;1;1;;;;;;1;
34;сурдопедагог;;;;;;;;;;;;;;;
35;социальные педагоги;610;47;31;98;76;99;259;577;118;70;93;77;60;159;33
36;педагоги дополнительного образования;672;131;41;91;72;65;272;606;163;59;107;56;52;169;66
37;педагоги-психологи;824;106;74;129;128;111;276;797;169;90;145;110;82;201;27
38;воспитатели;1024;74;47;117;164;110;512;1000;157;76;149;147;98;373;24
39;мастера производственного обучения;17;;;;3;1;13;15;;;3;2;1;9;2
40;тьюторы;113;20;14;16;15;6;42;103;34;17;16;9;3;24;10
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;206;34;23;49;37;24;39;202;65;29;53;25;8;22;4
42;другие;957;148;68;136;123;91;391;890;245;124;156;81;57;227;67
43;учебно-вспомогательный персонал;2728;166;114;282;431;443;1292;303;72;45;49;24;19;94;2425
44;иной персонал;17268;886;744;1879;2148;2268;9343;219;46;30;34;18;12;79;17049
45;из них:             ассистент (помощник);25;3;1;5;1;6;9;2;1;;;;;1;23
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;558;43;30;64;113;65;243;546;74;47;88;99;49;189;12
49;из них воспитатели;494;38;26;55;101;57;217;482;65;40;79;89;42;167;12
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;162;4;5;10;18;11;114;160;12;8;17;17;10;96;2
51;из них учителя;144;1;5;6;16;9;107;143;7;6;14;15;9;92;1
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
