;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);47804;2227;1877;2366;1992;3406;2829;5141;4347;5933;5096;6738;5793;6926;5770;5878;4678;5070;3706;4119;3167
2;в том числе:       руководящие работники – всего;3183;10;8;59;46;154;121;318;276;450;412;577;543;616;572;460;423;289;264;250;226
3;из них:             директор;839;1;;3;2;31;16;51;37;108;86;132;117;175;150;136;123;92;84;110;92
4;заместители директора;2080;7;6;53;42;110;95;233;207;306;291;399;379;406;387;277;252;170;154;119;112
5;руководитель филиала;29;;;;;5;4;3;3;3;3;4;4;7;6;3;3;2;2;2;2
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);24625;1740;1556;1776;1538;1997;1722;2580;2357;2822;2601;3242;3011;3466;3244;2762;2576;2309;2100;1931;1752
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);19527;1288;1149;1299;1114;1420;1194;1903;1706;2118;1919;2602;2409;2900;2722;2359;2201;1992;1818;1646;1503
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;5984;548;543;452;450;376;374;440;437;540;538;824;823;1198;1197;751;749;516;516;339;339
9;русского языка и литературы;2192;115;110;93;88;125;121;180;176;221;218;337;335;321;319;273;269;256;252;271;270
10;языка народов России и литературы;36;1;1;2;2;;;2;2;4;4;6;6;5;5;7;7;5;5;4;4
11;истории, экономики, права, обществознания;1185;78;60;126;94;127;92;144;126;160;140;135;117;126;106;121;111;92;82;76;67
