;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);122179;648;;5706;;1137;86
2;Образовательные программы начального общего образования;49382;347;1;2366;;397;11
3;из них адаптированные;638;8;;19;;8;8
4;в том числе:           для глухих;19;;;;;;
5;для слабослышащих и позднооглохших;8;;;;;;
6;для слепых;;;;;;;
7;для слабовидящих;20;;;;;;
8;с тяжелыми нарушениями речи;20;;;;;;
9;с нарушениями опорно-двигательного аппарата;68;;;3;;5;5
10;с задержкой психического развития;318;7;;14;;3;3
11;с расстройствами аутистического спектра;185;1;;2;;;
12;Образовательные программы основного общего образования;61250;262;1;2859;;607;31
13;из них адаптированные;808;11;;16;;22;22
14;в том числе:           для глухих;29;1;;;;;
15;для слабослышащих и позднооглохших;25;;;1;;1;1
16;для слепых;2;;;;;;
17;для слабовидящих;24;;;;;;
18;с тяжелыми нарушениями речи;19;;;;;;
19;с нарушениями опорно-двигательного аппарата;102;2;;;;12;12
20;с задержкой психического развития;505;7;;12;;8;8
21;с расстройствами аутистического спектра;102;1;;3;;1;1
22;Образовательные программы среднего общего образования;10755;39;1;453;;100;11
23;из них адаптированные;39;1;;;;7;7
24;в том числе:           для глухих;1;1;;;;;
25;для слабослышащих и позднооглохших;1;;;;;;
26;для слепых;;;;;;;
27;для слабовидящих;3;;;;;1;1
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;14;;;;;4;4
30;с задержкой психического развития;15;;;;;;
31;с расстройствами аутистического спектра;5;;;;;2;2
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);792;;;28;;33;33
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);8;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;2;;;;;;
35;основного общего образования (из строки 12);11;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;4;;;;;;
37;среднего общего образования (из строки 22);5;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;4;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);7;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;3;;;;;;
