;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);11006;260;3;143;;35;10947;56;3;21;15;1;3;;;11027;39;1;1;;;
2;в том числе:       получили аттестат об основном общем образовании;10959;239;3;133;;34;10901;55;3;19;13;1;3;;;10978;39;1;1;;;
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;5292;55;3;32;;21;5287;5;;6;6;;2;;;5298;2;;;;;
4;получили на ГИА неудовлетворительные результаты;7;;;;;;6;1;;;;;;;;7;;;;;;
5;не участвовали в ГИА;40;21;;10;;1;40;;;2;2;;;;;42;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;1191;10;;9;;4;1190;1;;3;3;;2;;;1194;2;;;;;
7;в IV квартале прошлого года;903;6;;2;;3;898;5;;7;7;1;;;;910;;;;;;
8;после 1 сентября текущего года;160;;;;;;154;6;;;;;;;;160;1;1;1;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);4033;44;;27;;19;3969;64;;4;4;2;1;;;4037;18;1;;1;;
10;в том числе:       получили аттестат о среднем общем образовании;3960;44;;27;;18;3902;58;;4;4;2;1;;;3964;18;1;;1;;
11;получили на ГИА неудовлетворительные результаты;72;;;;;1;66;6;;;;;;;;72;;;;;;
12;не участвовали в ГИА;1;;;;;;1;;;;;;;;;1;;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;895;4;;3;;1;892;3;;1;1;;1;;;896;5;1;;1;;
14;в IV квартале прошлого года;423;3;;2;;;423;;;1;1;;;;;424;;;;;;
15;после 1 сентября текущего года;17;;;;;;17;;;;;;;;;17;;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;3996;34;;20;;8;3942;54;;3;3;1;1;;;3999;16;1;;1;;
17;участвовали в ЕГЭ по русскому языку (из строки 16);3961;28;;15;;5;3907;54;;3;3;1;1;;;3964;16;1;;1;;
18;из них сдали ЕГЭ;3728;24;;11;;5;3700;28;;2;2;;1;;;3730;9;1;;1;;
19;участвовали в ЕГЭ по математике (из строки 16);3970;27;;15;;5;3916;54;;2;2;;1;;;3972;16;1;;1;;
20;из них сдали ЕГЭ;3670;24;;12;;5;3622;48;;2;2;;1;;;3672;10;1;;1;;
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;36;10;;7;;11;26;10;;1;1;1;;;;37;2;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;127;74;;23;1;8;127;;;29;29;4;17;;;156;;;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";579;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";317;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";5;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
