;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);8607;2787;4096;1703;1;3;7;10;109;8398;208;1
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;382;208;171;1;;;;2;3;381;1;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;313;143;167;1;;;;2;;312;1;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;6658;2539;3674;436;1;3;;5;2;6654;4;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;230;101;122;5;;;;2;;230;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;18;8;10;;;;;;;18;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;676;;112;564;;;;;;672;4;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;462;;18;444;;;;;;462;;
10;в связи с переходом на семейное образование и самообразование;118;31;60;27;;;;;;117;;1
11;по болезни;6;1;;2;;;3;;;5;1;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;94;;8;82;;;4;;7;48;46;
13;выбыло по другим причинам;211;8;53;147;;;;3;97;59;152;
