;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);640;366;450.9
2;в том числе:       руководящие работники – всего;11;8;8.8
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);408;253;223.7
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);275;171;150.9
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;9;9;8.1
6;русского языка и литературы;16;16;12.5
7;языка народов России и литературы;11;9;7.5
8;истории, экономики, права, обществознания;14;6;8.2
9;информатики;16;2;5.6
10;физики;23;11;13.2
11;математики;15;12;14
12;химии;24;20;10.8
13;географии;14;12;9.1
14;биологии;14;14;8.4
15;иностранных языков;27;26;14.7
16;из них:                      английского языка;26;25;15.1
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;39;7;29.5
21;труда (технологии);11;7;6
22;музыки и пения;13;10;8
23;изобразительного искусства, черчения;6;6;3
24;основ безопасности и защиты Родины;19;;8.3
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;4;4;2.8
27;учителя-логопеды;6;6;4.5
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;2;1;2
33;педагоги дополнительного образования;74;33;35.7
34;педагоги-психологи;3;3;2
35;воспитатели;15;14;11
36;мастера производственного обучения;;;
37;тьюторы;;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;0.5
39;другие;32;24;22.4
40;учебно-вспомогательный персонал;80;39;25.9
41;иной персонал;141;66;81.2
42;из них:             ассистент(помощник);1;1;0.5
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;25;24;19.5
46;из них воспитатели;11;11;10
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;4;;3.2
48;из них учителя;4;;3.2
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;15;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);29;;
53;из них женщин;29;;
54;в том числе:          врачи всех специальностей;4;;
55;медицинские сестры;25;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;134;;
