;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);22260.06;22063.5;21556.11;17899;1423;402;561;1527;1437;17795;353
2;в том числе:       руководящие работники – всего;987.25;977.25;968;958;67;1;44;70;68;943;17
3;из них:             директор;269;266;264;259;17;;13;16;14;267;1
4;заместители директора;632.75;618.75;611.75;608;43;1;27;46;44;598;15
5;руководитель филиала;1;1;1;1;;;;;;1;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);13959.33;13846.17;13497.16;10690;855;121;467;837;780;10723;229
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);9683.67;9631.78;9395.17;7108;550;50;316;562;527;7085;150
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2444.06;2443.06;2427.66;2106;111;19;45;110;101;2086;7
9;русского языка и литературы;1229.73;1218.63;1189.86;812;62;2;38;69;65;806;27
10;языка народов России и литературы;791.62;791.42;783.61;645;21;;10;31;29;636;4
11;истории, экономики, права, обществознания;653.96;647.86;628.87;423;51;4;34;46;43;425;8
12;информатики;183.56;182.16;171.75;161;14;4;6;19;18;158;9
13;физики;280.39;278.25;266.8;210;17;;8;16;15;213;15
14;математики;1031.5;1021.75;995.94;606;84;3;60;68;66;625;28
15;химии;206.07;206.07;193.51;186;18;1;15;21;19;183;6
16;географии;280.72;279.82;269.72;210;15;3;6;15;14;209;
17;биологии;299.76;298.76;292.67;220;19;1;11;15;12;226;5
18;иностранных языков;945.78;938.52;914.78;663;64;3;42;60;59;657;17
19;из них:                         английского языка;924.03;916.77;895.22;635;63;3;40;54;52;640;17
20;немецкого языка;18.52;18.52;15.66;25;;;;5;5;15;
21;французского языка;2.9;2.9;2.9;2;;;;;;2;
22;китайского языка;;;;;;;;;;;
23;физической культуры;509.96;505.06;479.4;378;26;3;18;37;34;364;8
24;труда (технологии);316.25;315.2;300.7;186;19;4;9;13;12;201;5
25;музыки и пения;126.5;125.16;120.21;110;5;;2;12;11;99;2
26;изобразительного искусства, черчения;96.11;96.06;87.94;66;8;2;4;7;6;64;2
27;основ безопасности и защиты Родины;121.96;119.46;113.91;84;9;1;6;13;13;93;6
28;основ духовно-нравственной культуры народов России;32.29;32.29;29.91;4;4;;2;;;6;
29;прочих предметов;133.45;132.25;127.93;38;3;;;10;10;34;1
30;учителя-логопеды;68.09;65.34;61.84;46;6;1;3;3;2;50;2
31;учителя-дефектологи;21.42;20.42;20.42;7;4;;;;;16;1
32;из них:                      олигофренопедагог;;;;;;;;;;;
33;тифлопедагог;;;;;;;;;;;
34;сурдопедагог;;;;;;;;;;;
35;социальные педагоги;162.18;157.18;155.68;139;15;1;10;9;8;142;5
36;педагоги дополнительного образования;535.31;523.84;487.94;306;45;8;24;36;31;304;22
37;педагоги-психологи;211.63;208.63;206.88;188;19;2;11;17;16;193;6
38;воспитатели;2492.12;2467.37;2424.37;2300;97;42;27;143;134;2257;24
39;мастера производственного обучения;0.5;0.5;0.5;;;;;;;;
40;тьюторы;58.44;49.94;49.19;38;8;2;3;8;8;41;8
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;111.75;111.75;109.75;55;61;3;47;6;6;158;
42;другие;614.22;609.42;585.42;503;50;12;26;53;48;477;11
43;учебно-вспомогательный персонал;2163.37;2149.07;2124.55;1948;168;81;28;208;196;1890;21
44;иной персонал;5150.11;5091.01;4966.4;4303;333;199;22;412;393;4239;86
45;из них:             ассистент (помощник);21;17;17;14;1;;;;;15;4
46;сурдопереводчик;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
