;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
№ строки;Наименование показателей;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Всего (сумма граф 9–11);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них из графы 4 дети-инвалиды;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 5);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 6);Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались очно-заочно;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья Из графы 3 обучались заочно;Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья из них лица с ограни- ченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них из графы 13 дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья из них инвалиды (кроме учтенных в графе 14);Классы для обучающихся с ограниченными возможностями здоровья из них дети-инвалиды (кроме учтенных в графе 15);Итого по всем классам (сумма граф 3, 12);Кроме того, численность экстернов;из них лица с ограни- ченными возможностя- ми здоровья;из них из графы 20 инвалиды;из них из графы 20 дети-инвалиды;из них инвалиды (кроме учтенных в графе 21);из них дети-инвалиды (кроме учтенных в графе 22)
1;Численность обучающихся (гр. 3–18) и экстернов (гр. 19–24), допущенных к ГИА по образовательным программам основного общего образования (сумма строк 02, 04, 05);11861;427;7;56;;41;11793;66;2;77;77;2;17;;;11938;121;3;;1;;
2;в том числе:       получили аттестат об основном общем образовании;11859;427;7;56;;41;11791;66;2;77;77;2;17;;;11936;121;3;;1;;
3;из них (из строки 02) продолжили обучение по образовательной          программе среднего общего образования в данной организации;3813;11;;6;;10;3748;63;2;;;;;;;3813;1;;;;;
4;получили на ГИА неудовлетворительные результаты;1;;;;;;1;;;;;;;;;1;;;;;;
5;не участвовали в ГИА;1;;;;;;1;;;;;;;;;1;;;;;;
6;Из строки 02 получили аттестат об основном общем образовании:    с отличием;709;1;;1;;1;709;;;1;1;;1;;;710;14;;;;;
7;в IV квартале прошлого года;1;;;;;;1;;;;;;;;;1;;;;;;
8;после 1 сентября текущего года;279;1;;;;;279;;;;;;;;;279;2;;;;;
9;Численность обучающихся (графы 3–18) и экстернов (графы 19–24), допущенных к ГИА по образовательным программам среднего общего образования (сумма строк 10–12);4254;8;3;5;;20;4198;52;4;;;;;;;4254;71;;;;;1
10;в том числе:       получили аттестат о среднем общем образовании;4249;8;3;5;;20;4193;52;4;;;;;;;4249;69;;;;;1
11;получили на ГИА неудовлетворительные результаты;5;;;;;;5;;;;;;;;;5;1;;;;;
12;не участвовали в ГИА;;;;;;;;;;;;;;;;;1;;;;;
13;Из строки 10 получили аттестат о среднем общем образовании:    с отличием и медаль «За особые успехи в учении»;785;1;;1;;2;785;;;;;;;;;785;24;;;;;
14;в IV квартале прошлого года;274;;;;;1;274;;;;;;;;;274;3;;;;;
15;после 1 сентября текущего года;;;;;;;;;;;;;;;;;;;;;;
16;Из общей численности участвовавших в ГИА (из суммы строк 10 и 11)    участвовали в едином государственном экзамене (ЕГЭ)*;4251;7;3;4;;19;4195;52;4;;;;;;;4251;70;;;;;1
17;участвовали в ЕГЭ по русскому языку (из строки 16);4251;4;;4;;17;4195;52;4;;;;;;;4251;69;;;;;1
18;из них сдали ЕГЭ;4248;1;;1;;17;4192;52;4;;;;;;;4248;65;;;;;1
19;участвовали в ЕГЭ по математике (из строки 16);4186;3;;3;;17;4130;52;4;;;;;;;4186;70;;;;;1
20;из них сдали ЕГЭ;4183;1;;1;;17;4127;52;4;;;;;;;4183;68;;;;;1
21;участвовали в ГИА в иной (кроме ЕГЭ) форме*;3;1;;1;;1;3;;;;;;;;;3;;;;;;
22;Выпущено лиц, не получивших основного общего и среднего общего образования, со свидетельством об обучении;149;72;2;14;;;149;;;93;92;15;25;;;242;1;1;;;;
23;"Справочно. Код по ОКЕИ: человек – 792  Из численности обучавшихся во всех классах, получивших аттестат о сред-нем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 18):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";423;;;;;;;;;;;;;;;;;;;;;
24;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";362;;;;;;;;;;;;;;;;;;;;;
25;"Из численности обучавшихся экстернов, получивших аттестат о среднем общем образовании с отличием и медаль «За особые успехи в учении» (из строки 13 графы 19):    получили аттестат красного цвета и медаль ""За особые успехи    в учении"" I степени";13;;;;;;;;;;;;;;;;;;;;;
26;"получили аттестат сине-голубого цвета и медаль ""За особые успехи    в учении"" II степени";11;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;Сумма строк 16 и 21 равна сумме строк 10 и 11 по всем графам;;;;;;;;;;;;;;;;;
