;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);9980;3750;4949;1181;11;29;;60;55;9750;33;197
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;1755;775;944;29;;;;7;5;1755;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;1626;771;821;28;;;;6;4;1626;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;6555;2730;3396;384;11;4;;30;14;6555;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;248;79;132;18;7;2;;10;;248;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;79;37;33;9;;;;;;79;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;527;30;129;349;;19;;;11;527;;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;247;;102;139;;6;;;;247;;
10;в связи с переходом на семейное образование и самообразование;407;132;232;42;;;;1;1;400;7;
11;по болезни;1;;;1;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;2;;1;1;;;;;1;2;;
13;выбыло по другим причинам;486;83;145;236;;;;22;23;263;26;197
