;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);484;277;283.4
2;в том числе:       руководящие работники – всего;6;2;7.6
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);339;216;194.8
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);166;100;109.7
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;9;8;8.7
6;русского языка и литературы;10;8;7.5
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;16;4;11.2
9;информатики;10;2;3.3
10;физики;16;5;9.2
11;математики;10;6;7.1
12;химии;11;10;7.3
13;географии;7;4;5
14;биологии;6;6;3.6
15;иностранных языков;13;12;10
16;из них:                      английского языка;11;10;8.5
17;немецкого языка;1;1;1
18;французского языка;1;1;0.5
19;китайского языка;;;
20;физической культуры;17;6;11.9
21;труда (технологии);9;3;6.4
22;музыки и пения;11;11;6.8
23;изобразительного искусства, черчения;6;5;4.2
24;основ безопасности и защиты Родины;2;;0.9
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;13;10;6.3
27;учителя-логопеды;17;16;10.7
28;учителя-дефектологи;24;21;11.1
29;из них:                олигофренопедагог;1;1;0.5
30;тифлопедагог;;;
31;сурдопедагог;1;1;0.5
32;социальные педагоги;;;
33;педагоги дополнительного образования;99;53;50.6
34;педагоги-психологи;11;11;5.4
35;воспитатели;2;1;1
36;мастера производственного обучения;;;
37;тьюторы;1;1;1
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;1;1
39;другие;18;12;9.5
40;учебно-вспомогательный персонал;29;12;16.4
41;иной персонал;110;47;64.5
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;3;3;2
46;из них воспитатели;1;1;0.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;;0.5
48;из них учителя;1;;0.5
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;8;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);3;;
53;из них женщин;3;;
54;в том числе:          врачи всех специальностей;;;
55;медицинские сестры;3;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;141;;
