;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);10710;602;503;522;442;609;502;1002;888;1244;1110;1381;1223;1522;1333;1428;1236;1164;928;1236;956
2;в том числе:       руководящие работники – всего;800;;;7;6;36;22;75;57;116;103;140;123;149;136;121;101;79;70;77;60
3;из них:             директор;156;;;1;1;6;1;6;1;19;15;24;19;34;31;29;25;15;13;22;17
4;заместители директора;545;;;6;5;27;19;59;45;80;69;100;88;96;86;80;64;52;46;45;33
5;руководитель филиала;4;;;;;;;;;;;1;1;;;2;2;1;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);7285;547;466;467;400;470;391;706;650;795;722;898;821;1042;956;967;894;721;641;672;589
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);5923;467;402;374;316;380;309;531;485;605;542;712;658;869;801;805;752;620;555;560;500
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1789;180;179;111;110;80;79;115;113;149;149;272;270;358;358;299;299;140;139;85;84
9;русского языка и литературы;681;54;52;45;44;41;40;48;48;62;59;79;78;80;79;95;93;87;86;90;90
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;352;35;19;34;22;32;20;24;21;42;26;34;27;48;42;31;28;39;28;33;30
12;информатики;176;15;11;19;12;15;8;23;18;31;19;15;12;20;17;15;12;11;7;12;8
13;физики;187;7;3;3;1;9;5;9;7;9;9;12;9;29;23;36;31;28;25;45;33
14;математики;557;41;32;29;24;30;22;48;47;42;41;54;52;81;78;89;87;76;73;67;66
15;химии;136;7;2;4;4;7;6;11;11;8;8;17;16;24;22;10;10;24;23;24;23
16;географии;165;8;6;6;3;8;6;17;17;9;8;17;15;30;30;25;24;18;17;27;27
17;биологии;179;9;7;4;3;11;11;19;17;24;24;18;17;21;20;29;29;16;16;28;28
18;иностранных языков;746;49;47;61;55;73;68;141;135;149;145;75;72;48;47;37;37;62;60;51;50
19;из них:                         английского языка;644;48;47;56;50;67;63;123;118;132;128;69;66;42;41;32;32;41;39;34;34
20;немецкого языка;100;;;5;4;6;5;18;17;17;17;6;6;6;6;5;4;20;19;17;16
21;французского языка;1;;;;;;;;;;;;;;;;;1;1;;
22;китайского языка;1;1;;;;;;;;;;;;;;;;;;;
23;физической культуры;418;40;25;41;27;48;22;42;27;45;30;45;29;62;39;36;25;37;24;22;12
24;труда (технологии);208;2;1;2;1;9;6;13;9;13;9;30;23;27;19;43;33;38;23;31;18
25;музыки и пения;138;11;10;5;5;6;6;8;7;7;6;19;19;20;18;23;21;21;21;18;17
26;изобразительного искусства, черчения;72;6;6;2;2;4;4;1;1;6;6;13;12;10;8;13;12;7;7;10;10
27;основ безопасности и защиты Родины;74;2;1;2;;3;2;4;1;7;2;7;2;11;1;15;2;12;2;11;1
28;основ духовно-нравственной культуры народов России;9;;;1;1;;;1;1;;;;;;;5;5;2;2;;
29;прочих предметов;36;1;1;5;2;4;4;7;5;2;1;5;5;;;4;4;2;2;6;3
30;учителя-логопеды;115;6;6;6;6;8;8;15;15;19;19;22;22;13;13;12;12;7;7;7;7
31;учителя-дефектологи;100;1;1;9;9;7;7;16;16;15;15;18;18;12;12;14;14;5;5;3;3
32;из них:                      олигофренопедагог;9;;;1;1;;;2;2;;;2;2;4;4;;;;;;
33;тифлопедагог;;;;;;;;;;;;;;;;;;;;;
34;сурдопедагог;5;;;;;;;;;;;;;2;2;1;1;;;2;2
35;социальные педагоги;117;4;4;3;3;9;8;17;16;13;13;21;20;13;13;13;13;10;10;14;14
36;педагоги дополнительного образования;174;22;12;20;13;12;9;11;7;19;19;13;10;16;10;19;15;13;10;29;16
37;педагоги-психологи;169;8;7;19;18;16;16;20;20;31;31;25;23;24;24;14;12;5;5;7;7
38;воспитатели;344;9;9;13;12;15;15;45;44;57;51;55;44;45;41;55;46;28;20;22;17
39;мастера производственного обучения;;;;;;;;;;;;;;;;;;;;;
40;тьюторы;47;5;3;2;2;4;3;5;5;8;8;3;3;7;7;7;6;2;2;4;4
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;55;7;7;10;10;7;6;17;16;4;4;4;4;3;3;2;2;1;1;;
42;другие;241;18;15;11;11;12;10;29;26;24;20;25;19;40;32;26;22;30;26;26;21
43;учебно-вспомогательный персонал;683;22;16;17;14;33;28;93;77;128;115;92;78;80;64;72;60;63;45;83;67
44;иной персонал;1942;33;21;31;22;70;61;128;104;205;170;251;201;251;177;268;181;301;172;404;240
45;из них:             ассистент (помощник);32;4;4;;;2;2;2;2;3;3;6;6;3;2;;;3;3;9;8
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;264;6;6;10;10;12;12;47;47;46;46;36;35;36;36;42;42;16;16;13;13
49;из них воспитатели;224;6;6;9;9;9;9;39;39;42;42;31;31;31;31;36;36;12;12;9;9
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;27;;;;;;;1;1;1;1;4;4;1;;4;3;5;4;11;10
51;из них учителя;27;;;;;;;1;1;1;1;4;4;1;;4;3;5;4;11;10
;;;;;;;;;;;;;;;;;;;;;;
