;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;8088;3;1188;6897;7986;102;
2;из них:        русский язык;211;;78;133;211;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;3831;;922;2909;3830;1;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;4;;;4;4;;
12;литература;458;;5;453;457;1;
13;родная литература;;;;;;;
14;иностранный язык;769;3;119;647;769;;
15;из них:              английский;693;3;54;636;693;;
16;немецкий;68;;65;3;68;;
17;французский;8;;;8;8;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1199;;287;912;1198;1;
23;история;1051;;28;1023;1041;10;
24;обществознание;3619;;105;3514;3607;12;
25;география;79;;;79;79;;
26;физика;1691;;572;1119;1602;89;
27;химия;1414;;392;1022;1414;;
28;биология;1674;;178;1496;1585;89;
29;основы безопасности и защиты Родины;;;;;;;
