;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);54;102;1073;1413
2;в том числе       инженерные;6;5;142;46
3;медицинские;2;24;34;278
4;космические;1;;34;
5;педагогические;17;38;347;611
6;аграрные;12;7;149;39
7;предпринимательские;;;;
8;кадетские;10;;233;
9;IT-классы;;;;
10;другие;6;28;134;439
