;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);1261;45;42;28;129;103;130;137;164;121;177;148;24;13;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);1256;45;42;27;129;103;130;137;164;121;175;146;24;13;
3;в том числе (из строки 02) обучались:       очно;1187;39;40;27;114;100;122;130;154;116;173;135;24;13;
4;очно-заочно;69;6;2;;15;3;8;7;10;5;2;11;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;655;40;;;51;56;52;67;86;64;107;132;;;
7;10 лет;228;;26;14;37;13;42;15;38;31;1;3;8;;
8;11 лет;141;;2;;13;8;10;19;12;22;19;7;16;13;
9;12 лет;100;5;;;9;7;10;9;4;4;48;4;;;
10;13 лет;132;;14;13;19;19;16;27;24;;;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);5;;;1;;;;;;;2;2;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;4;;;;;;;;;;2;2;;;
13;10 лет;1;;;1;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;2;;;1;;;;;;;;1;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
