;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);695;410;344.2
2;в том числе:       руководящие работники – всего;10;7;7.2
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);394;285;203.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);283;211;177.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;32;31;14.4
6;русского языка и литературы;19;18;19.4
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;19;15;12.2
9;информатики;15;7;6.4
10;физики;19;14;11.2
11;математики;14;11;16.7
12;химии;35;28;20.9
13;географии;7;6;4.9
14;биологии;12;10;8.6
15;иностранных языков;22;20;16.3
16;из них:                      английского языка;19;17;16
17;немецкого языка;3;3;0.3
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;34;12;22.5
21;труда (технологии);12;6;7.4
22;музыки и пения;21;18;17.7
23;изобразительного искусства, черчения;4;4;2.4
24;основ безопасности и защиты Родины;6;;4.9
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;12;11;3.6
27;учителя-логопеды;7;6;2.7
28;учителя-дефектологи;4;4;1.5
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;5;4;2.5
33;педагоги дополнительного образования;62;32;25.4
34;педагоги-психологи;13;12;5.2
35;воспитатели;3;3;1.8
36;мастера производственного обучения;;;
37;тьюторы;1;1;0.5
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;3;3;0.5
39;другие;13;9;4.9
40;учебно-вспомогательный персонал;27;16;12.3
41;иной персонал;264;102;99.9
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;2;2;0.8
46;из них воспитатели;1;1;0.5
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;9;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);74;;
53;из них женщин;68;;
54;в том числе:          врачи всех специальностей;16;;
55;медицинские сестры;58;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;187;;
