;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);12026;641;553;577;492;642;530;997;876;1100;976;1405;1276;1878;1685;1786;1558;1593;1318;1407;1097
2;в том числе:       руководящие работники – всего;868;1;1;9;9;38;29;62;51;94;88;116;106;201;183;153;133;116;106;78;59
3;из них:             директор;331;;;2;2;15;10;22;14;25;23;37;29;75;60;67;55;44;36;44;32
4;заместители директора;536;1;1;7;7;23;19;39;36;69;65;79;77;126;123;86;77;72;69;34;27
5;руководитель филиала;;;;;;;;;;;;;;;;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);7737;592;513;514;440;490;404;678;600;687;620;881;821;1203;1128;1098;1028;883;803;711;629
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);6808;517;445;464;394;422;339;568;491;576;519;774;718;1080;1008;998;931;794;717;615;545
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2251;173;170;148;146;112;110;154;153;183;181;278;277;438;437;398;396;247;244;120;115
9;русского языка и литературы;838;79;78;53;51;51;46;63;62;61;61;93;93;130;128;105;105;96;95;107;104
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;427;35;25;42;22;31;18;38;25;26;24;54;45;61;52;55;46;51;35;34;30
12;информатики;151;9;7;12;5;13;7;28;21;11;10;20;15;25;21;15;13;13;9;5;4
13;физики;207;15;13;12;9;5;4;13;9;16;10;24;23;33;27;36;33;23;18;30;23
14;математики;668;34;27;30;30;23;21;43;38;51;50;58;56;97;91;116;113;122;116;94;89
15;химии;163;5;4;8;6;9;8;15;14;14;11;17;16;25;24;24;23;26;26;20;18
16;географии;179;4;4;4;3;13;12;13;13;12;9;15;12;47;43;21;19;23;20;27;25
17;биологии;210;7;6;17;12;12;9;16;16;16;16;33;33;20;19;37;36;26;25;26;25
18;иностранных языков;776;75;62;88;82;70;65;96;92;96;90;84;83;68;67;68;66;63;61;68;67
19;из них:                         английского языка;696;70;57;85;79;65;60;94;91;89;85;78;77;61;60;53;51;48;46;53;52
20;немецкого языка;61;2;2;2;2;3;3;2;1;6;4;4;4;7;7;13;13;12;12;10;10
21;французского языка;15;2;2;;;2;2;;;1;1;1;1;;;2;2;3;3;4;4
22;китайского языка;2;1;1;1;1;;;;;;;;;;;;;;;;
23;физической культуры;456;55;27;41;22;63;24;46;18;48;24;33;17;60;34;47;25;41;17;22;9
24;труда (технологии);227;8;6;;;9;6;21;13;21;16;29;18;40;32;32;19;36;28;31;15
25;музыки и пения;93;5;5;4;4;3;3;8;7;3;3;12;12;18;17;18;17;11;10;11;10
26;изобразительного искусства, черчения;79;6;5;1;1;4;4;10;7;10;10;12;12;10;9;14;13;9;9;3;3
27;основ безопасности и защиты Родины;54;3;2;3;1;3;1;3;2;5;1;8;2;5;4;9;4;4;1;11;2
28;основ духовно-нравственной культуры народов России;5;1;1;;;;;;;;;;;1;1;1;1;;;2;2
29;прочих предметов;24;3;3;1;;1;1;1;1;3;3;4;4;2;2;2;2;3;3;4;4
30;учителя-логопеды;70;8;8;6;6;5;5;10;10;10;10;9;9;5;5;6;6;8;8;3;3
31;учителя-дефектологи;24;4;4;1;1;2;2;3;3;1;1;1;1;4;4;3;3;3;3;2;2
32;из них:                      олигофренопедагог;4;1;1;;;;;;;;;1;1;1;1;;;1;1;;
33;тифлопедагог;1;;;;;;;;;;;;;;;1;1;;;;
34;сурдопедагог;4;;;1;1;;;1;1;1;1;;;;;;;1;1;;
35;социальные педагоги;84;2;1;2;2;6;6;6;6;11;10;8;8;11;11;9;9;14;14;15;12
36;педагоги дополнительного образования;84;8;5;2;1;5;4;7;7;12;8;4;3;6;5;11;10;10;8;19;11
37;педагоги-психологи;181;18;17;20;18;25;24;37;36;18;18;19;16;20;20;16;15;5;5;3;3
38;воспитатели;312;18;18;7;7;12;12;28;28;39;36;52;52;60;60;41;41;26;26;29;29
39;мастера производственного обучения;;;;;;;;;;;;;;;;;;;;;
40;тьюторы;23;4;4;1;1;4;4;1;1;4;4;1;1;1;1;;;5;5;2;2
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;38;3;1;8;7;7;6;7;7;6;6;2;2;2;2;2;2;1;;;
42;другие;113;10;10;3;3;2;2;11;11;10;8;11;11;14;12;12;11;17;17;23;22
43;учебно-вспомогательный персонал;476;15;14;9;6;21;18;55;52;54;47;63;60;58;49;68;66;62;54;71;66
44;иной персонал;2945;33;25;45;37;93;79;202;173;265;221;345;289;416;325;467;331;532;355;547;343
45;из них:             ассистент (помощник);6;;;;;1;1;;;2;2;;;;;;;2;2;1;1
46;сурдопереводчик;;;;;;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;151;7;7;3;3;11;10;17;17;21;21;24;23;36;36;17;17;9;9;6;5
49;из них воспитатели;138;6;6;3;3;8;7;16;16;21;21;23;22;32;32;15;15;8;8;6;5
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;17;;;;;;;3;1;;;2;2;;;4;4;3;;5;5
51;из них учителя;17;;;;;;;3;1;;;2;2;;;4;4;3;;5;5
;;;;;;;;;;;;;;;;;;;;;;
