;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;3130;;914;2216;3051;77;2
2;из них:        русский язык;12;;;12;12;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;1448;;516;932;1426;22;
8;изобразительное искусство;;;;;;;
9;музыка;18;;;18;18;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;291;;;291;212;77;2
13;родная литература;2;;;2;2;;
14;иностранный язык;653;;329;324;653;;
15;из них:              английский;653;;329;324;653;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;374;;82;292;374;;
23;история;286;;;286;286;;
24;обществознание;1000;;10;990;988;12;
25;география;41;;;41;41;;
26;физика;447;;121;326;447;;
27;химия;377;;43;334;377;;
28;биология;435;;43;392;435;;
29;основы безопасности и защиты Родины;;;;;;;
