;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
№ строки;Наименование показателя;"Всего сумма граф 4 - 16; сумма граф 20-22";В том числе 1-й класс;В том числе 2-й класс;В том числе 3-й класс;В том числе 4-й класс;В том числе 5-й класс;В том числе 6-й класс;В том числе 7-й класс;В том числе 8-й класс;В том числе 9-й класс;В том числе 10-й класс;В том числе 11-й класс (выпускной);В том числе 11-й класс;В том числе 12-й класс;Из графы 3 инвалиды;Из графы 3 дети-инвалиды;Из графы 3 с умственной отсталостью;В том числе обучаются (из гр.3) очно;В том числе обучаются (из гр.3) очно-заочно;В том числе обучаются (из гр.3) заочно
1;Число классов, имеющих в своем составе лиц с ограниченными возможностями здоровья, ед.;908;79;105;120;134;76;103;101;85;89;9;7;;;;;;;;
2;В них обучающихся (всего), чел.;18850;1778;2299;2720;2959;1442;2062;1865;1653;1839;160;73;;;;;;;;
3;из них (из строки 02) лица с ограниченными       возможностями здоровья:          глухие;12;1;;1;3;1;2;1;3;;;;;;;12;;12;;
4;слабослышащие;11;2;1;3;3;;;;2;;;;;;;8;;11;;
5;позднооглохшие;2;;;1;;1;;;;;;;;;;2;;2;;
6;слепые;;;;;;;;;;;;;;;;;;;;
7;слабовидящие;18;2;4;1;5;;3;1;1;1;;;;;;8;;18;;
8;с тяжелыми нарушениями речи;345;33;96;107;92;3;5;5;2;2;;;;;;4;;345;;
9;с нарушением опорно-двигательного аппарата;55;4;6;2;13;5;8;4;3;6;3;1;;;4;44;;55;;
10;с задержкой психического развития;1184;66;101;164;171;98;151;138;144;149;1;1;;;4;28;7;1163;21;
11;с умственной отсталостью (интеллектуальными          нарушениями);89;3;6;9;7;9;16;14;16;7;2;;;;8;26;;86;3;
12;с расстройствами аутистического спектра;45;11;8;10;5;4;3;4;;;;;;;;28;1;45;;
13;со сложными дефектами;3;1;1;;;;;;;1;;;;;;3;;3;;
14;с иными ограниченными возможностями          здоровья;73;4;5;7;15;13;4;6;6;4;4;5;;;3;51;;73;;
