;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);6946;483;393;774;914;943;3439;3989;421;277;510;541;484;1756;2957
2;в том числе:       руководящие работники – всего;447;;1;13;43;54;336;371;6;4;18;44;46;253;76
3;из них:             директор;114;;;2;7;10;95;114;;1;3;12;12;86;
4;заместители директора;323;;1;10;35;43;234;254;5;3;15;32;34;165;69
5;руководитель филиала;3;;;;;;3;2;1;;;;;1;1
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);3583;313;234;406;466;457;1707;3542;398;266;473;485;433;1487;41
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);2498;212;171;273;299;302;1241;2483;239;186;303;322;293;1140;15
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;821;74;74;77;71;90;435;818;77;71;89;81;90;410;3
9;русского языка и литературы;295;26;21;24;22;27;175;290;25;23;25;25;29;163;5
10;языка народов России и литературы;7;1;;1;2;;3;7;1;;1;2;;3;
11;истории, экономики, права, обществознания;167;19;16;16;19;23;74;167;23;15;20;24;17;68;
12;информатики;56;3;2;5;12;16;18;56;4;2;6;13;14;17;
13;физики;66;;2;6;4;11;43;66;3;3;6;4;12;38;
14;математики;218;15;8;24;34;24;113;215;18;9;24;34;22;108;3
15;химии;55;5;3;4;5;4;34;54;5;3;5;7;5;29;1
16;географии;78;6;4;7;7;16;38;78;10;5;9;7;14;33;
17;биологии;66;5;4;15;11;5;26;66;5;6;15;10;8;22;
18;иностранных языков;274;26;17;44;61;36;90;272;28;19;48;58;31;88;2
19;из них:                         английского языка;264;23;15;42;60;36;88;262;25;17;46;57;31;86;2
20;немецкого языка;2;;;2;;;;2;;;2;;;;
21;французского языка;1;;;;;;1;1;;;;;;1;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;174;22;8;24;25;22;73;173;23;10;24;31;23;62;1
24;труда (технологии);98;2;6;9;9;14;58;98;7;9;12;9;16;45;
25;музыки и пения;29;2;2;3;7;4;11;29;2;4;5;4;4;10;
26;изобразительного искусства, черчения;29;1;1;2;3;3;19;29;1;2;2;2;3;19;
27;основ безопасности и защиты Родины;41;2;2;8;3;7;19;41;4;3;8;6;4;16;
28;основ духовно-нравственной культуры народов России;2;2;;;;;;2;2;;;;;;
29;прочих предметов;22;1;1;4;4;;12;22;1;2;4;5;1;9;
30;учителя-логопеды;105;5;6;5;15;17;57;105;6;7;15;15;13;49;
31;учителя-дефектологи;43;3;;2;3;7;28;43;4;1;5;8;4;21;
32;из них:                   олигофренопедагог;11;;;1;1;1;8;11;;;1;3;1;6;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;1;;;;;;1;1;;;;;;1;
35;социальные педагоги;89;2;3;9;18;12;45;86;8;4;15;13;13;33;3
36;педагоги дополнительного образования;119;20;8;15;16;11;49;115;23;9;22;15;7;39;4
37;педагоги-психологи;110;5;7;20;24;21;33;106;11;9;20;23;25;18;4
38;воспитатели;411;48;23;59;57;59;165;408;70;34;67;61;53;123;3
39;мастера производственного обучения;;;;;;;;;;;;;;;
40;тьюторы;34;2;3;6;4;2;17;30;10;4;1;2;2;11;4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;28;6;4;2;5;6;5;28;10;3;4;4;5;2;
42;другие;146;10;9;15;25;20;67;138;17;9;21;22;18;51;8
43;учебно-вспомогательный персонал;628;41;31;72;111;107;266;54;12;5;12;11;4;10;574
44;иной персонал;2288;129;127;283;294;325;1130;22;5;2;7;1;1;6;2266
45;из них:             ассистент (помощник);;;;;;;;;;;;;;;
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;348;35;21;44;50;52;146;347;57;29;53;52;44;112;1
49;из них воспитатели;291;34;17;38;43;46;113;290;51;25;48;43;39;84;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;37;1;1;5;6;6;18;37;2;3;5;6;3;18;
51;из них учителя;36;1;1;5;6;6;17;36;2;3;5;6;3;17;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
