;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;3830;;;3830;3799;31;
2;из них:        русский язык;57;;;57;56;1;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;826;;;826;820;6;
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;1050;;;1050;1035;15;
13;родная литература;;;;;;;
14;иностранный язык;86;;;86;86;;
15;из них:              английский;86;;;86;86;;
16;немецкий;;;;;;;
17;французский;;;;;;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;189;;;189;189;;
23;история;361;;;361;360;1;
24;обществознание;1933;;;1933;1927;6;
25;география;37;;;37;37;;
26;физика;146;;;146;146;;
27;химия;1378;;;1378;1353;25;
28;биология;1364;;;1364;1349;15;
29;основы безопасности и защиты Родины;;;;;;;
