;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);22;29;345;393
2;в том числе       инженерные;;1;;15
3;медицинские;2;;46;
4;космические;;;;
5;педагогические;11;8;175;94
6;аграрные;7;1;109;6
7;предпринимательские;;;;
8;кадетские;;;;
9;IT-классы;;;;
10;другие;2;19;15;278
