;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);631;418;256.9
2;в том числе:       руководящие работники – всего;11;11;11.6
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);391;263;138.9
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);278;201;104.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;20;20;2.5
6;русского языка и литературы;14;14;6.6
7;языка народов России и литературы;12;12;5.8
8;истории, экономики, права, обществознания;16;10;6.5
9;информатики;12;6;7
10;физики;27;22;12.2
11;математики;27;22;11.2
12;химии;19;17;9.2
13;географии;6;6;1.7
14;биологии;10;8;4.2
15;иностранных языков;17;17;5
16;из них:                      английского языка;15;15;5
17;немецкого языка;;;
18;французского языка;;;
19;китайского языка;;;
20;физической культуры;33;7;16.3
21;труда (технологии);11;5;3.5
22;музыки и пения;25;20;9.3
23;изобразительного искусства, черчения;8;7;2.5
24;основ безопасности и защиты Родины;14;1;8.4
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;7;7;3.3
27;учителя-логопеды;2;2;1
28;учителя-дефектологи;;;
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;5;4;1.5
33;педагоги дополнительного образования;88;42;39.7
34;педагоги-психологи;4;4;3.5
35;воспитатели;4;3;1.5
36;мастера производственного обучения;;;
37;тьюторы;1;1;1.1
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;1;;1
39;другие;8;6;1.5
40;учебно-вспомогательный персонал;34;13;15.8
41;иной персонал;195;131;68.9
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;;1
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;2;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);47;;
53;из них женщин;43;;
54;в том числе:          врачи всех специальностей;;;
55;медицинские сестры;47;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;124;;
