;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;537;45;;;50;54;53;62;68;69;70;66;;;
2;В них обучающихся, чел.;5622;294;;;427;541;576;683;714;779;815;793;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;48;;3;2;4;4;6;6;6;7;3;7;;;
4;В них обучающихся, чел.;605;;24;20;40;58;77;67;76;92;50;101;;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;16;1;;;1;1;1;1;2;2;1;2;1;3;
6;В них обучающихся, чел.;78;2;;;4;8;8;6;7;9;5;9;3;17;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;118;9;;;10;9;14;12;17;14;15;12;1;3;2
8;В них обучающихся, чел.;757;55;;;54;55;87;78;121;96;100;86;1;19;5
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;82;;7;7;7;9;8;12;6;6;7;10;;2;1
10;В них обучающихся, чел.;603;;69;56;45;49;56;83;51;59;76;54;;2;3
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);801;55;10;9;72;77;82;93;99;98;96;97;2;8;3
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";7665;351;93;76;570;711;804;917;969;1035;1046;1043;4;38;8
13;в том числе обучаются:          очно;7665;351;93;76;570;711;804;917;969;1035;1046;1043;4;38;8
14;очно-заочно;;;;;;;;;;;;;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);1294;44;;1;88;140;132;165;155;203;172;186;3;3;2
17;девочки;2622;109;24;16;172;236;263;304;343;365;377;400;;9;4
18;лица с ограниченными возможностями здоровья;7665;351;93;76;570;711;804;917;969;1035;1046;1043;4;38;8
19;из них (из строки 18):             инвалиды;138;;5;;;10;8;17;8;13;23;41;;9;4
20;дети-инвалиды;4052;238;78;69;341;388;448;475;494;526;509;463;1;18;4
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;229;5;;2;12;11;19;25;46;33;29;47;;;
24;из них воспитанники (без приходящих учащихся);66;2;;;2;3;4;9;12;10;12;12;;;
25;обучающиеся иностранные граждане;3;;1;;;1;;;;;;1;;;
26;из них девочки;1;;;;;1;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
