;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;300823;118911;58546;26436;160880;79083;32222;21032;11350;11258;1718;1093;421;41
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;847;847;489;834;;;;;;;;11;5;
4;7 лет;23089;23089;11770;22062;;;;;;;;125;58;5
5;8 лет;29484;29482;14373;3397;2;1;1;;;;2;113;37;3
6;9 лет;30186;30151;14978;129;35;21;4;;;;1;138;58;4
7;10 лет;31664;30594;14913;10;1070;601;1002;;;;2;130;51;4
8;11 лет;32279;4256;1839;4;28023;14044;26855;;;;;116;36;7
9;12 лет;32587;370;142;;32217;15978;3956;;;;1;118;41;10
10;13 лет;30620;79;29;;30541;15136;325;;;;;109;44;4
11;14 лет;31524;24;5;;31496;15546;46;4;4;;;112;49;1
12;15 лет;31296;15;6;;30785;15132;17;496;295;478;14;65;21;2
13;16 лет;15051;3;1;;5036;2113;7;10012;5518;9521;73;42;18;1
14;17 лет;9822;;;;760;261;;9062;4932;962;129;13;3;
15;18 лет;922;;;;159;58;;763;382;48;80;1;;
16;19 лет;101;;;;57;16;;44;15;14;79;;;
17;20 лет;99;;;;55;10;;44;13;17;93;;;
18;21 год;78;;;;44;11;;34;8;10;78;;;
19;22 года;92;;;;52;14;;40;12;15;91;;;
20;23 года;60;;;;25;6;;35;12;15;60;;;
21;24 года;64;;;;26;3;;38;7;19;63;;;
22;25 лет;74;;;;29;2;;45;12;17;74;;;
23;26 лет;58;;;;31;7;;27;9;9;58;;;
24;27 лет;72;;;;35;5;;37;5;12;72;;;
25;28 лет;48;;;;27;10;;21;5;8;48;;;
26;29 лет;84;;;;49;4;;35;9;12;84;;;
27;30–34 года;224;;;;100;24;;124;45;45;221;;;
28;35–39 лет;190;;;;104;32;3;86;29;28;189;;;
29;40 лет и старше;208;1;1;;122;48;6;85;38;28;206;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
