;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;32223;5219;16144;10860;32114;86;23
2;из них:        русский язык;3556;;3282;274;3487;69;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;225;225;;;225;;
7;математика;11915;2400;4374;5141;11846;69;
8;изобразительное искусство;459;192;267;;459;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;52;;52;;52;;
12;литература;1582;;190;1392;1559;;23
13;родная литература;;;;;;;
14;иностранный язык;6449;2402;3325;722;6449;;
15;из них:              английский;6228;2320;3191;717;6228;;
16;немецкий;225;82;128;15;225;;
17;французский;15;;6;9;15;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;3498;;2091;1407;3498;;
23;история;2155;;349;1806;2138;17;
24;обществознание;6495;;771;5724;6472;;23
25;география;259;;141;118;242;17;
26;физика;1955;;722;1233;1955;;
27;химия;1972;;643;1329;1972;;
28;биология;3493;;1440;2053;3493;;
29;основы безопасности и защиты Родины;;;;;;;
