;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);33;28;622;429
2;в том числе       инженерные;5;9;185;206
3;медицинские;1;7;26;68
4;космические;;;;
5;педагогические;14;6;144;81
6;аграрные;11;6;217;74
7;предпринимательские;;;;
8;кадетские;2;;50;
9;IT-классы;;;;
10;другие;;;;
