;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);3786;187;51;24;303;364;342;405;383;552;527;538;53;57;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);3776;186;51;24;301;363;341;404;383;550;527;536;53;57;
3;в том числе (из строки 02) обучались:       очно;3774;186;51;24;301;363;341;404;383;550;527;534;53;57;
4;очно-заочно;2;;;;;;;;;;;2;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;2880;142;;;208;295;280;302;294;431;450;478;;;
7;10 лет;159;;24;15;36;19;1;20;15;16;13;;;;
8;11 лет;197;6;;2;10;2;9;8;7;12;;39;45;57;
9;12 лет;415;38;;;39;47;34;49;47;91;56;14;;;
10;13 лет;125;;27;7;8;;17;25;20;;8;5;8;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);10;1;;;2;1;1;1;;2;;2;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;1;;;;;;;;;1;;;;;
13;10 лет;2;;;;;;;1;;1;;;;;
14;11 лет;2;;;;;;;;;;;2;;;
15;12 лет;5;1;;;2;1;1;;;;;;;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;10;1;;;2;1;1;1;;2;;2;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
