;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);6984;2489;3032;1178;77;82;2;124;630;6954;22;8
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;96;36;51;;7;2;;;;96;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;23;3;11;;7;2;;;;23;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;53;30;23;;;;;;;53;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;5427;2376;2605;235;68;63;2;78;9;5427;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;260;87;137;2;13;8;;13;;260;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;96;71;25;;;;;;;96;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;221;;71;150;;;;;16;218;3;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;236;;44;180;;12;;;2;236;;
10;в связи с переходом на семейное образование и самообразование;187;56;111;11;1;3;;5;;185;;2
11;по болезни;1;;;1;;;;;;1;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;47;1;28;18;;;;;16;43;;4
13;выбыло по другим причинам;769;20;122;583;1;2;;41;587;748;19;2
