;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);17354;9646;8433;;40;;3;4484;2045;1582;2753;2933;2;10;14834;
2;в том числе:       руководящие работники – всего;1159;1086;876;;10;;2;57;28;7;206;160;;2;995;
3;из них:             директор;414;394;366;;6;;1;11;8;;84;97;;;325;
4;заместители директора;648;599;481;;4;;1;34;16;6;111;56;;2;579;
5;руководитель филиала;7;6;5;;;;;1;1;;;;;;4;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);10216;7846;7422;;30;;1;2169;1922;26;2546;2772;2;8;9291;12762
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);8675;6946;6662;;25;;1;1581;1414;18;2342;2510;2;8;7847;10939.2
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2552;1700;1655;;3;;;826;794;1;724;744;;4;2547;3046.2
9;русского языка и литературы;1063;974;963;;4;;;76;72;1;326;327;1;1;1047;
10;языка народов России и литературы;3;3;3;;;;;;;;2;1;;;3;
11;истории, экономики, права, обществознания;554;513;495;;4;;;34;29;;160;153;1;1;442;
12;информатики;208;169;152;;1;;;35;26;1;62;50;;1;154;
13;физики;258;245;229;;2;;;9;6;;70;78;;;185;
14;математики;853;788;763;;3;;1;51;45;1;208;243;;;820;
15;химии;189;185;177;;3;;;2;1;;55;48;;;180;
16;географии;295;279;271;;;;;15;14;;89;98;;;273;
17;биологии;283;263;250;;1;;;16;13;;94;88;;;273;
18;иностранных языков;967;901;855;;4;;;56;47;;229;276;;1;916;
19;из них:                         английского языка;847;786;738;;4;;;50;41;;195;225;;1;802;
20;немецкого языка;111;101;95;;;;;5;5;;25;40;;;105;
21;французского языка;8;8;8;;;;;;;;5;1;;;8;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;587;394;383;;;;;178;163;1;115;180;;;327;
24;труда (технологии);394;252;222;;;;;116;78;9;88;106;;;267;
25;музыки и пения;156;69;55;;;;;80;61;2;45;30;;;151;
26;изобразительного искусства, черчения;113;73;64;;;;;35;21;2;37;29;;;111;
27;основ безопасности и защиты Родины;65;49;40;;;;;14;10;;4;26;;;19;
28;основ духовно-нравственной культуры народов России;4;1;1;;;;;2;1;;;1;;;4;
29;прочих предметов;131;88;84;;;;;36;33;;34;32;;;128;
30;учителя-логопеды;124;112;103;;;;;11;11;;39;15;;;124;127.3
31;учителя-дефектологи;22;18;17;;;;;4;4;;8;4;;;22;23
32;из них:                   олигофренопедагог;7;4;4;;;;;3;3;;2;3;;;7;7.5
33;тифлопедагог;1;;;;;;;1;1;;;;;;1;1
34;сурдопедагог;4;4;4;;;;;;;;3;1;;;4;
35;социальные педагоги;140;111;89;;;;;27;17;;10;16;;;136;138.1
36;педагоги дополнительного образования;62;40;31;;1;;;18;7;;7;2;;;47;60.6
37;педагоги-психологи;195;187;164;;1;;;7;5;;27;24;;;186;191.4
38;воспитатели;582;148;136;;;;;405;377;6;67;160;;;571;535.7
39;мастера производственного обучения;2;1;;;;;;;;;;;;;;2
40;тьюторы;41;28;23;;2;;;12;11;;7;1;;;41;42.4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;68;45;37;;;;;18;12;;5;5;;;59;58.9
42;другие;305;210;160;;1;;;86;64;2;34;35;;;258;323.8
43;учебно-вспомогательный персонал;741;192;51;;;;;304;46;128;;1;;;682;
44;иной персонал;5238;522;84;;;;;1954;49;1421;1;;;;3866;
45;из них:             ассистент (помощник);2;;;;;;;1;;1;;;;;2;2
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;317;70;64;;;;;220;196;3;28;62;;;315;
49;из них воспитатели;296;53;47;;;;;216;192;3;19;59;;;295;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;24;22;21;;;;;2;2;;1;5;;;24;
51;из них учителя;22;21;20;;;;;1;1;;1;5;;;22;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;388;296;286;;;;;65;45;;41;47;;;259;
53;из них учителя - всего;319;239;232;;;;;56;39;;20;36;;;209;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;68;44;41;;;;;17;13;;5;7;;;53;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;122;95;87;;;;;4;2;;8;10;;;68;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;9;6;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;899;;;;;;;;;;;;;;;
58;из них директор;358;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;9173;;;;;;;;;;;;;;;
60;из них учителя;7623;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);56;;;;;;;;;;;;;;;
62;из них женщин;52;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;9;;;;;;;;;;;;;;;
64;медицинские сестры;47;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;8411;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;6804;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;5993;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;811;;;;;;;;;;;;;;;
