;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1469;855;802.5
2;в том числе:       руководящие работники – всего;10;6;4.6
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);728;562;386.2
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);591;461;320.3
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;42;40;22
6;русского языка и литературы;39;36;26.4
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;41;29;26.3
9;информатики;30;11;14.8
10;физики;40;25;21.7
11;математики;27;23;15.9
12;химии;43;38;20.1
13;географии;16;14;8.9
14;биологии;19;18;11.7
15;иностранных языков;63;58;38.7
16;из них:                      английского языка;51;46;34.2
17;немецкого языка;10;9;4.1
18;французского языка;1;1;0.4
19;китайского языка;;;
20;физической культуры;42;15;26.5
21;труда (технологии);28;13;13
22;музыки и пения;25;25;10.3
23;изобразительного искусства, черчения;9;8;3.2
24;основ безопасности и защиты Родины;16;2;7.5
25;основ духовно-нравственной культуры народов России;2;2;0.5
26;прочих предметов;109;104;58.2
27;учителя-логопеды;15;15;8.7
28;учителя-дефектологи;2;2;0.6
29;из них:                олигофренопедагог;;;
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;5;5;2.2
33;педагоги дополнительного образования;59;33;26.6
34;педагоги-психологи;14;14;7.7
35;воспитатели;14;13;6.6
36;мастера производственного обучения;;;
37;тьюторы;1;;0.1
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;2;2;0.8
39;другие;25;17;11.9
40;учебно-вспомогательный персонал;38;16;20.2
41;иной персонал;693;271;388
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;4;4;1.8
46;из них воспитатели;4;4;1.8
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;;0.6
48;из них учителя;1;;0.6
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;18;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;1;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);53;;
53;из них женщин;50;;
54;в том числе:          врачи всех специальностей;15;;
55;медицинские сестры;38;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;450;;
