;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);17354;724;632;702;601;898;775;1394;1214;1647;1476;2168;1964;2881;2574;2880;2458;2291;1816;1769;1324
2;в том числе:       руководящие работники – всего;1159;;;10;7;36;29;89;71;146;134;224;199;285;257;210;177;112;86;47;35
3;из них:             директор;414;;;4;2;7;5;34;26;26;22;61;52;108;90;100;77;50;34;24;17
4;заместители директора;648;;;6;5;27;22;45;36;97;89;142;127;158;149;100;91;53;43;20;17
5;руководитель филиала;7;;;;;;;1;;1;1;;;1;1;1;1;1;1;2;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);10216;647;579;589;519;659;586;857;761;866;788;1216;1142;1789;1680;1645;1510;1199;1078;749;648
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);8675;563;505;499;438;548;482;711;621;720;655;1014;945;1513;1417;1419;1296;1061;952;627;536
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2552;220;220;159;159;131;131;156;156;205;205;288;288;571;570;461;458;260;259;101;101
9;русского языка и литературы;1063;56;54;52;50;50;46;65;61;69;69;147;146;194;193;188;187;157;156;85;85
10;языка народов России и литературы;3;;;;;;;;;;;2;2;;;1;1;;;;
11;истории, экономики, права, обществознания;554;34;21;49;28;40;30;36;24;40;33;64;58;79;70;96;83;68;56;48;39
12;информатики;208;17;10;14;11;22;18;45;34;29;20;27;20;27;23;15;14;8;4;4;
13;физики;258;10;7;6;4;10;7;19;12;16;12;19;13;32;20;46;35;57;49;43;26
14;математики;853;36;33;42;40;47;44;51;46;66;62;104;99;137;134;147;143;128;126;95;93
15;химии;189;7;6;12;12;13;12;18;17;15;13;17;17;30;28;22;21;36;36;19;18
16;географии;295;14;10;7;6;10;8;18;17;19;17;42;41;60;58;59;55;38;35;28;26
17;биологии;283;11;11;11;11;18;17;21;20;20;20;36;35;52;49;59;56;33;32;22;22
18;иностранных языков;967;68;60;61;55;126;119;143;138;101;99;85;84;113;110;95;85;96;91;79;75
19;из них:                         английского языка;847;64;58;56;51;113;108;129;124;93;91;76;75;102;99;80;70;72;68;62;58
20;немецкого языка;111;3;1;4;3;13;11;14;14;7;7;9;9;9;9;14;14;23;22;15;15
21;французского языка;8;1;1;1;1;;;;;1;1;;;2;2;1;1;1;1;1;1
