;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;72973;29476;14447;6706;37738;18481;7657;5759;3060;2958;202;127;52;
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;;;;;;;;;;;;;;
3;6 лет;301;301;157;290;;;;;;;;3;1;
4;7 лет;5882;5882;2903;5328;;;;;;;;9;4;
5;8 лет;7225;7224;3592;998;1;;;;;;;11;4;
6;9 лет;7653;7607;3777;82;46;20;8;;;;1;13;6;
7;10 лет;7702;7269;3524;8;433;235;363;;;;;13;4;
8;11 лет;7773;1070;458;;6703;3406;6115;;;;1;21;9;
9;12 лет;7898;94;33;;7804;3837;988;;;;1;12;2;
10;13 лет;7435;22;2;;7413;3571;121;;;;;16;6;
11;14 лет;7376;4;1;;7370;3672;9;2;1;2;1;11;8;
12;15 лет;7107;;;;6886;3320;53;221;135;209;11;11;6;
13;16 лет;3493;3;;;842;345;;2648;1417;2400;35;4;1;
14;17 лет;2616;;;;101;40;;2515;1350;284;50;2;;
15;18 лет;230;;;;24;7;;206;98;6;29;;;
16;19 лет;23;;;;8;6;;15;8;4;19;1;1;
17;20 лет;21;;;;9;2;;12;6;5;12;;;
18;21 год;17;;;;3;1;;14;6;5;6;;;
19;22 года;18;;;;4;1;;14;4;6;8;;;
20;23 года;18;;;;10;2;;8;6;2;3;;;
21;24 года;21;;;;8;1;;13;2;8;2;;;
22;25 лет;25;;;;13;1;;12;4;8;3;;;
23;26 лет;16;;;;5;2;;11;5;3;3;;;
24;27 лет;15;;;;7;1;;8;2;4;1;;;
25;28 лет;13;;;;6;2;;7;4;4;;;;
26;29 лет;19;;;;11;3;;8;2;2;2;;;
27;30–34 года;30;;;;8;3;;22;6;3;7;;;
28;35–39 лет;19;;;;10;2;;9;2;1;3;;;
29;40 лет и старше;27;;;;13;1;;14;2;2;4;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
