;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);4268;1541;2139;491;16;44;1;36;355;4144;85;39
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;31;5;10;16;;;;;16;15;16;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;16;;;16;;;;;16;;16;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;3;3;;;;;;;;3;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;3454;1503;1786;114;16;10;1;24;3;3454;;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;36;16;18;1;;;;1;;36;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;15;12;3;;;;;;;15;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;170;;79;71;;20;;;9;164;6;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;104;;35;69;;;;;4;101;2;1
10;в связи с переходом на семейное образование и самообразование;127;26;81;18;;;;2;;127;;
11;по болезни;;;;;;;;;;;;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;26;1;19;6;;;;;8;22;4;
13;выбыло по другим причинам;356;6;129;197;;14;;10;315;261;57;38
