;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9604;5183;4818;1;29;;4;2880;1138;1010;1777;1543;7;5;8230;
2;в том числе:       руководящие работники – всего;590;539;492;;9;;;48;34;3;126;88;;3;528;
3;из них:             директор;246;224;209;;6;;;18;16;1;51;35;;2;211;
4;заместители директора;334;304;259;;2;;;27;15;;72;46;;;306;
5;руководитель филиала;6;2;2;;;;;2;1;2;2;;;;6;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5588;4341;4228;1;20;;4;1125;1051;12;1648;1453;7;2;5156;4053.9
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4638;3713;3640;1;16;;2;829;794;6;1495;1277;6;2;4260;3374.6
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1469;970;961;;;;;466;463;1;492;363;2;1;1464;1114.7
9;русского языка и литературы;588;535;532;1;2;;1;41;39;;223;151;2;;580;
10;языка народов России и литературы;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;295;270;264;;3;;;19;17;;93;94;1;;260;
12;информатики;104;96;93;;1;;;7;5;;41;36;;;86;
13;физики;134;132;130;;;;;1;;;48;40;;;105;
14;математики;443;417;410;;2;;;20;17;;132;137;;;431;
15;химии;118;112;107;;1;;;2;2;;32;38;;;112;
16;географии;112;99;97;;1;;;13;13;;40;43;;;111;
17;биологии;146;140;137;;1;;;4;4;;47;45;1;1;140;
18;иностранных языков;487;433;426;;1;;;43;42;;122;145;;;467;
19;из них:                         английского языка;344;306;300;;1;;;22;22;;74;90;;;328;
20;немецкого языка;126;103;102;;;;;18;17;;33;46;;;121;
21;французского языка;16;15;15;;;;;;;;11;1;;;16;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;287;187;182;;;;;92;90;;88;79;;;159;
24;труда (технологии);197;131;117;;;;;61;49;5;43;50;;;128;
25;музыки и пения;89;55;55;;;;;32;27;;35;20;;;88;
26;изобразительного искусства, черчения;74;60;58;;1;;;11;10;;27;15;;;70;
27;основ безопасности и защиты Родины;51;43;42;;2;;;6;6;;18;12;;;18;
28;основ духовно-нравственной культуры народов России;7;6;6;;1;;1;1;1;;4;;;;6;
29;прочих предметов;37;27;23;;;;;10;9;;10;9;;;35;
30;учителя-логопеды;105;98;95;;;;;6;5;;20;14;;;105;68.9
31;учителя-дефектологи;66;61;59;;1;;;5;4;;9;9;;;66;53.9
32;из них:                   олигофренопедагог;11;9;8;;;;;2;2;;;2;;;11;8
33;тифлопедагог;2;2;2;;;;;;;;;;;;2;
34;сурдопедагог;4;4;4;;;;;;;;4;;;;4;4
35;социальные педагоги;90;69;64;;;;;18;17;;16;12;;;87;62
36;педагоги дополнительного образования;61;36;31;;1;;2;20;16;2;11;7;1;;42;37.8
37;педагоги-психологи;125;117;116;;1;;;4;3;;30;20;;;124;90.6
38;воспитатели;298;109;95;;;;;183;158;2;30;82;;;286;174.2
39;мастера производственного обучения;6;1;;;;;;3;1;2;;2;;;;2
40;тьюторы;37;28;25;;;;;9;8;;1;;;;36;27
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;55;36;33;;;;;17;15;;5;8;;;54;33.5
42;другие;107;73;70;;1;;;31;30;;31;22;;;96;77.3
43;учебно-вспомогательный персонал;414;88;54;;;;;216;27;55;2;2;;;379;
44;иной персонал;3012;215;44;;;;;1491;26;940;1;;;;2167;
45;из них:             ассистент (помощник);5;4;1;;;;;;;1;;;;;3;2.5
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;175;42;26;;;;;117;95;1;16;36;;;174;
49;из них воспитатели;167;36;21;;;;;115;93;1;16;32;;;166;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;9;8;8;;;;;;;;;3;;;8;
51;из них учителя;7;6;6;;;;;;;;;3;;;7;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;177;135;130;;;;;37;32;;41;34;;;129;
53;из них учителя - всего;78;56;54;;;;;19;16;;28;12;;;68;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;24;15;10;;;;;8;8;;7;2;;;21;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1399;1223;1132;;8;;1;115;105;1;412;289;;;1064;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;36;33;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;471;;;;;;;;;;;;;;;
58;из них директор;201;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;4696;;;;;;;;;;;;;;;
60;из них учителя;3679;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);25;;;;;;;;;;;;;;;
62;из них женщин;25;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;2;;;;;;;;;;;;;;;
64;медицинские сестры;23;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;4224;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;3351;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;3006;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;345;;;;;;;;;;;;;;;
