;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);9604;547;311;644;827;991;6284;6172;541;333;581;565;523;3629;3432
2;в том числе:       руководящие работники – всего;590;;1;21;46;61;461;541;7;9;37;46;57;385;49
3;из них:             директор;246;;;7;12;21;206;244;2;1;13;16;24;188;2
4;заместители директора;334;;1;13;34;37;249;292;4;8;22;30;33;195;42
5;руководитель филиала;6;;;1;;3;2;3;;;2;;;1;3
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);5588;468;248;453;487;467;3465;5502;525;314;530;508;449;3176;86
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);4638;384;197;351;374;353;2979;4581;397;242;413;389;344;2796;57
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1469;152;77;115;105;103;917;1449;141;85;138;108;95;882;20
9;русского языка и литературы;588;36;20;30;53;40;409;582;40;26;33;55;40;388;6
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;295;28;10;32;35;22;168;290;32;11;33;34;16;164;5
12;информатики;104;6;3;8;11;13;63;103;7;5;11;9;11;60;1
13;физики;134;3;6;13;8;6;98;133;6;6;11;12;6;92;1
14;математики;443;34;23;14;26;28;318;433;28;25;21;23;34;302;10
15;химии;118;10;2;5;8;7;86;116;11;6;3;10;6;80;2
16;географии;112;2;1;9;4;8;88;111;3;2;10;3;8;85;1
17;биологии;146;9;5;11;9;10;102;145;11;4;15;12;9;94;1
18;иностранных языков;487;45;21;52;57;62;250;484;49;29;61;59;58;228;3
19;из них:                         английского языка;344;42;21;44;44;43;150;341;44;28;48;47;40;134;3
20;немецкого языка;126;3;;7;11;19;86;126;5;1;12;10;18;80;
21;французского языка;16;;;1;2;;13;16;;;1;2;;13;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;287;33;14;27;26;21;166;285;33;19;36;31;21;145;2
24;труда (технологии);197;9;6;15;16;11;140;197;15;10;20;21;14;117;
25;музыки и пения;89;6;5;5;7;5;61;88;7;7;5;6;7;56;1
26;изобразительного искусства, черчения;74;9;1;10;3;7;44;71;8;3;8;2;7;43;3
27;основ безопасности и защиты Родины;51;2;1;4;3;5;36;51;5;2;7;2;7;28;
28;основ духовно-нравственной культуры народов России;7;;1;;;;6;7;;1;;;;6;
29;прочих предметов;37;;1;1;3;5;27;36;1;1;1;2;5;26;1
30;учителя-логопеды;105;6;5;16;15;17;46;103;11;9;19;13;10;41;2
31;учителя-дефектологи;66;6;8;13;9;9;21;65;7;9;18;11;5;15;1
32;из них:                   олигофренопедагог;11;1;;1;2;1;6;11;1;;3;3;1;3;
33;тифлопедагог;2;;1;;;1;;2;;1;;;1;;
34;сурдопедагог;4;;;1;;;3;4;;;1;;;3;
35;социальные педагоги;90;6;2;5;9;15;53;88;11;3;7;14;14;39;2
36;педагоги дополнительного образования;61;7;2;10;6;2;34;59;12;4;9;5;1;28;2
37;педагоги-психологи;125;11;13;18;20;16;47;121;14;18;21;16;15;37;4
38;воспитатели;298;24;7;23;26;30;188;290;34;13;25;35;37;146;8
39;мастера производственного обучения;6;;;;;;6;6;1;;;1;2;2;
40;тьюторы;37;4;9;3;9;2;10;34;12;7;2;5;3;5;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;55;11;3;6;5;10;20;52;13;3;7;8;8;13;3
42;другие;107;9;2;8;14;13;61;103;13;6;9;11;10;54;4
43;учебно-вспомогательный персонал;414;10;14;27;35;74;254;63;4;5;8;4;9;33;351
44;иной персонал;3012;69;48;143;259;389;2104;66;5;5;6;7;8;35;2946
45;из них:             ассистент (помощник);5;;;;;1;4;;;;;;;;5
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;175;11;5;15;21;17;106;174;21;9;18;19;20;87;1
49;из них воспитатели;167;11;5;15;19;15;102;166;21;9;16;17;19;84;1
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;9;1;;;3;;5;9;1;;;3;;5;
51;из них учителя;7;1;;;2;;4;7;1;;;2;;4;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
