;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);15804.74;15455.16;14769.11;9680;1205;205;213;1281;1200;9604;245
2;в том числе:       руководящие работники – всего;694.24;680.49;667.24;583;65;6;21;58;56;590;7
3;из них:             директор;248.69;243.69;241.69;237;21;1;10;17;16;246;
4;заместители директора;430.8;407.8;393.05;333;37;4;10;38;36;334;5
5;руководитель филиала;8;7.5;7;4;2;;;;;6;1
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);10101.94;9854.91;9347.72;5576;744;95;184;741;707;5588;202
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);8042.03;7956.99;7592.71;4660;558;64;149;589;566;4638;110
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2057.74;2045.65;1995.15;1476;155;40;24;158;150;1469;9
9;русского языка и литературы;1107.18;1097.43;1062.59;578;67;4;24;61;56;588;15
10;языка народов России и литературы;3.22;3.22;3.22;1;;;;;;;
11;истории, экономики, права, обществознания;499.38;497.32;477.99;291;35;1;10;32;32;295;4
12;информатики;189.1;186.41;174.95;103;12;;2;12;10;104;3
13;физики;226.64;221.53;210.17;140;19;;7;22;22;134;9
14;математики;927.93;917.27;874.24;446;64;5;22;68;65;443;27
15;химии;157.43;156.6;148.36;112;25;2;6;20;20;118;3
16;географии;221.1;219.21;206.81;112;11;;4;12;11;112;1
17;биологии;234.72;233.32;224.08;155;15;1;4;22;20;146;2
18;иностранных языков;835.35;823.02;793.77;479;73;1;27;63;62;487;22
19;из них:                         английского языка;595.45;583.42;556.87;324;60;1;22;42;40;344;19
20;немецкого языка;198.05;193.16;189.96;133;11;;5;17;17;126;3
21;французского языка;25.89;25.56;24.76;19;1;;;4;4;16;
22;китайского языка;0.67;0.67;0.67;;;;;;;;
23;физической культуры;472.21;463.4;442.41;301;26;3;9;36;35;287;6
24;труда (технологии);359.62;351.09;317.8;207;23;3;1;34;34;197;6
25;музыки и пения;146.81;146.09;131.65;92;13;2;4;16;16;89;
26;изобразительного искусства, черчения;106.16;105.41;103;75;7;1;;9;9;74;
27;основ безопасности и защиты Родины;83.03;81.48;78.37;55;5;1;1;13;13;51;2
28;основ духовно-нравственной культуры народов России;40;39.94;38.88;2;4;;1;;;7;
29;прочих предметов;374.41;368.6;309.27;35;4;;3;11;11;37;1
30;учителя-логопеды;228.59;202.74;179.74;102;13;;4;9;9;105;19
31;учителя-дефектологи;166.62;136.88;125.98;60;14;;6;9;8;66;14
32;из них:                      олигофренопедагог;33.75;23.76;22.56;11;;;;1;1;11;6
33;тифлопедагог;1.25;1.25;1;2;;;;;;2;
34;сурдопедагог;12.2;;;4;;;;;;4;
35;социальные педагоги;147.95;142.7;138.4;87;8;1;;9;9;90;4
36;педагоги дополнительного образования;289.72;278.75;244.06;56;10;2;1;8;8;61;8
37;педагоги-психологи;249.78;218.33;201.73;140;21;;6;32;29;125;26
38;воспитатели;505.32;471.24;440.24;317;48;15;7;57;50;298;9
39;мастера производственного обучения;20.95;18.85;16.85;6;;;;;;6;1
40;тьюторы;100.18;90.53;85.53;34;15;;;13;13;37;4
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;84.5;83;80.5;10;36;7;9;;;55;1
42;другие;266.3;254.9;241.98;104;21;6;2;15;15;107;6
43;учебно-вспомогательный персонал;580.34;539.84;517.14;410;35;15;4;59;53;414;2
44;иной персонал;4428.22;4379.92;4237.01;3111;361;89;4;423;384;3012;34
45;из них:             ассистент (помощник);13;10;9;4;1;;;;;5;1
46;сурдопереводчик;1;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
