;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23
№ строки;Наименование показателей;Всего (сумма граф 4, 6, 8, 10, 12, 14, 16,  18, 20, 22);Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет всего;Число полных лет  по состоянию на 1 января 20_ года моложе 25 лет из них женщины;Число полных лет  по состоянию на 1 января 20_ года 25–29 всего;Число полных лет  по состоянию на 1 января 20_ года 25–29 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 30–34 всего;Число полных лет  по состоянию на 1 января 20_ года 30–34 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 35–39 всего;Число полных лет  по состоянию на 1 января 20_ года 35–39 из них женщины;Число полных лет  по состоянию на 1 января 20_ года 40–44 всего;Число полных лет  по состоянию на 1 января 20_ года 40–44 из них женщины;45–49 всего;45–49 из них женщины;50–54 всего;50–54 из них женщины;55–59 всего;55–59 из них женщины;60–64 всего;60–64 из них женщины;65 и более всего;65 и более из них женщины
1;Численность работников – всего (сумма строк 02, 06, 43,44);9604;489;432;386;347;548;480;839;735;962;854;1216;1117;1588;1390;1520;1267;1174;918;882;690
2;в том числе:       руководящие работники – всего;590;;;8;8;22;15;48;42;90;80;100;95;154;137;91;84;57;52;20;15
3;из них:             директор;246;;;1;1;6;2;14;9;35;32;31;30;71;59;47;43;28;26;13;9
4;заместители директора;334;;;7;7;15;12;33;31;54;46;64;61;82;77;44;41;29;26;6;5
5;руководитель филиала;6;;;;;1;1;1;1;1;1;2;2;1;1;;;;;;
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);5588;446;403;327;296;387;342;478;440;522;485;662;637;897;845;849;778;595;548;425;382
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);4638;387;348;266;240;308;263;360;330;404;373;542;519;759;717;730;666;523;480;359;324
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1469;173;171;101;101;79;78;113;113;112;112;164;164;295;295;235;234;146;145;51;51
9;русского языка и литературы;588;35;32;24;23;36;34;40;40;44;44;72;72;94;94;97;96;79;79;67;66
10;языка народов России и литературы;;;;;;;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;295;25;20;24;17;25;21;33;29;23;21;30;30;37;36;42;38;36;29;20;19
12;информатики;104;5;5;5;3;10;9;14;9;17;14;14;12;20;15;10;10;6;6;3;3
13;физики;134;3;3;11;9;10;7;3;3;11;8;12;9;19;15;26;22;15;12;24;17
14;математики;443;39;36;19;18;19;18;22;22;33;32;43;43;59;59;90;88;66;65;53;50
15;химии;118;12;12;3;3;8;4;3;3;10;9;12;12;18;18;29;28;10;10;13;13
16;географии;112;;;4;4;7;7;2;2;13;12;32;32;16;16;13;13;18;18;7;7
17;биологии;146;8;7;9;9;6;5;10;10;9;9;21;21;24;23;21;21;22;21;16;14
18;иностранных языков;487;31;27;38;35;48;45;61;58;67;67;50;49;45;43;49;47;50;50;48;46
19;из них:                         английского языка;344;29;25;38;35;36;33;46;44;52;52;32;31;26;25;28;28;28;28;29;27
20;немецкого языка;126;2;2;;;10;10;14;13;14;14;17;17;13;12;20;18;18;17;18;18
21;французского языка;16;;;;;2;2;1;1;1;1;1;1;5;5;1;1;4;4;1;1
22;китайского языка;;;;;;;;;;;;;;;;;;;;;
23;физической культуры;287;34;17;16;6;32;15;23;14;29;17;36;30;39;27;42;20;24;9;12;4
24;труда (технологии);197;5;3;1;1;13;7;15;11;16;10;32;23;34;25;34;18;29;16;18;14
25;музыки и пения;89;7;7;5;5;7;7;3;3;5;5;8;8;25;24;13;13;10;10;6;6
26;изобразительного искусства, черчения;74;7;7;4;4;5;5;8;7;7;7;6;6;15;14;10;10;7;7;5;3
27;основ безопасности и защиты Родины;51;2;;;;3;1;5;2;3;1;6;4;8;2;15;5;3;1;6;2
28;основ духовно-нравственной культуры народов России;7;;;1;1;;;;;;;;;2;2;;;1;1;3;2
29;прочих предметов;37;1;1;1;1;;;5;4;5;5;4;4;9;9;4;3;1;1;7;7
30;учителя-логопеды;105;6;6;4;4;15;15;22;22;11;11;17;17;15;15;8;8;6;6;1;1
31;учителя-дефектологи;66;6;6;12;12;6;6;7;7;10;10;9;9;8;8;1;1;6;6;1;1
32;из них:                      олигофренопедагог;11;1;1;1;1;1;1;;;1;1;2;2;3;3;;;2;2;;
33;тифлопедагог;2;;;;;;;;;;;2;2;;;;;;;;
34;сурдопедагог;4;;;1;1;;;;;;;;;;;;;3;3;;
35;социальные педагоги;90;3;3;5;3;4;4;12;12;14;13;15;15;13;13;11;11;5;5;8;8
