;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;48973;;18980;29993;47936;848;189
2;из них:        русский язык;7058;;5723;1335;6903;130;25
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;17739;;3801;13938;17396;290;53
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);;;;;;;
11;физическая культура;;;;;;;
12;литература;5214;;567;4647;5106;66;42
13;родная литература;;;;;;;
14;иностранный язык;8826;;6547;2279;8826;;
15;из них:              английский;7480;;5201;2279;7480;;
16;немецкий;;;;;;;
17;французский;1441;;1318;123;1441;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;71;;28;43;71;;
21;другие восточные языки;;;;;;;
22;информатика;4600;;1224;3376;4533;67;
23;история;4915;;32;4883;4538;266;111
24;обществознание;18906;;2756;16150;18425;439;42
25;география;1679;;67;1612;1427;252;
26;физика;5485;;1505;3980;5485;;
27;химия;4895;;985;3910;4895;;
28;биология;6216;;942;5274;6027;67;122
29;основы безопасности и защиты Родины;12;;;12;12;;
