;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);7553;371;70;60;572;693;690;890;857;980;839;1058;334;135;4
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);7533;370;70;60;572;693;689;888;857;973;836;1055;332;134;4
3;в том числе (из строки 02) обучались:       очно;7457;361;70;60;566;692;684;880;851;963;833;1031;328;134;4
4;очно-заочно;4;;;;;;;;;4;;;;;
5;заочно;72;9;;;6;1;5;8;6;6;3;24;4;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;5745;321;;;446;540;547;730;717;831;687;926;;;
7;10 лет;576;;61;56;60;69;22;21;29;29;13;12;204;;
8;11 лет;955;36;5;;49;56;90;119;77;95;103;107;84;134;
9;12 лет;249;13;;;17;28;30;18;34;18;33;10;44;;4
10;13 лет;8;;4;4;;;;;;;;;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);20;1;;;;;1;2;;7;3;3;2;1;
12;в том числе по программам с нормативным сроком освоения:       9 лет;17;1;;;;;1;2;;7;3;3;;;
13;10 лет;1;;;;;;;;;;;;1;;
14;11 лет;1;;;;;;;;;;;;;1;
15;12 лет;1;;;;;;;;;;;;1;;
16;13 лет;;;;;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;6;1;;;;;1;;;2;;;2;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
