;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);62935;44448;39459;3;186;4;15;10525;5035;2707;9848;7813;24;39;53913;
2;в том числе:       руководящие работники – всего;4110;3887;3147;;48;;6;150;35;31;495;291;;2;3477;
3;из них:             директор;1183;1164;1063;;22;;1;;;;177;92;;;934;
4;заместители директора;2713;2504;1905;;21;;4;133;25;20;262;168;;1;2396;
5;руководитель филиала;10;10;7;;;;;;;;;;;;8;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);43448;37505;35769;3;135;4;9;5279;4733;75;9317;7512;24;37;38703;26164
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);37698;33008;31838;2;121;2;7;4232;3897;61;8903;7032;20;34;33587;22209.7
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;11736;8997;8799;;8;;;2599;2473;32;2546;2453;4;18;11666;7117.2
9;русского языка и литературы;4349;4187;4135;;19;;;122;116;3;1356;769;6;6;4283;
10;языка народов России и литературы;3;2;2;;;;;1;1;;;;;;3;
11;истории, экономики, права, обществознания;2590;2515;2417;1;21;1;1;48;41;4;746;449;2;1;2150;
12;информатики;807;730;667;;3;;1;62;47;2;192;140;;;527;
13;физики;1009;976;919;;9;;;20;16;1;239;178;;;739;
14;математики;3472;3350;3230;;10;;;82;69;2;787;604;5;4;3225;
15;химии;811;799;753;;7;;;8;6;;256;154;;;762;
16;географии;1120;1067;1025;;5;;;38;30;;344;214;;;992;
17;биологии;1088;1048;1000;;10;1;1;30;22;;364;190;2;1;1029;
18;иностранных языков;4168;4003;3892;;19;;2;119;105;2;660;832;1;3;3971;
19;из них:                         английского языка;4038;3830;3697;;19;;1;107;94;2;603;794;1;3;3850;
20;немецкого языка;100;99;95;;;;1;1;1;;29;17;;;95;
21;французского языка;23;23;23;;;;;;;;5;1;;;20;
22;китайского языка;4;4;4;;;;;;;;1;;;;2;
23;физической культуры;2682;2190;2108;;6;;1;448;403;5;602;443;;1;1344;
24;труда (технологии);1556;1246;1147;;1;;;280;233;9;323;265;;;1127;
25;музыки и пения;662;477;444;1;;;;174;156;;156;110;;;612;
26;изобразительного искусства, черчения;470;387;363;;;;;78;68;1;119;53;;;457;
27;основ безопасности и защиты Родины;479;437;377;;2;;;35;30;;105;68;;;54;
28;основ духовно-нравственной культуры народов России;52;41;37;;;;;9;7;;7;9;;;50;
29;прочих предметов;644;556;523;;1;;1;79;74;;101;101;;;596;
30;учителя-логопеды;527;478;447;;;;;37;31;1;54;45;;;521;314.5
31;учителя-дефектологи;308;286;264;;2;;;15;13;;24;31;1;;301;166.2
32;из них:                   олигофренопедагог;39;35;33;;;;;4;4;;4;2;;;38;15.1
33;тифлопедагог;4;3;2;;;;;;;;1;1;;;4;2
34;сурдопедагог;25;24;24;;;;;1;1;;3;9;;;25;2
35;социальные педагоги;755;607;527;;2;;;130;104;1;32;43;;1;732;394
36;педагоги дополнительного образования;584;441;380;;1;;1;127;96;3;56;31;1;1;369;319.7
37;педагоги-психологи;1293;1199;1101;;4;;1;68;57;2;84;117;2;1;1256;679.8
38;воспитатели;888;533;463;;;;;322;300;2;92;136;;;724;360.9
39;мастера производственного обучения;7;4;4;;;;;3;2;;4;1;;;4;11
40;тьюторы;124;88;81;;;;;27;21;;;1;;;119;75.4
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;301;228;183;;;;;60;45;;8;7;;;276;127
42;другие;963;633;481;1;5;2;;258;167;5;60;68;;;814;648.8
43;учебно-вспомогательный персонал;3833;1828;366;;;;;1280;127;275;4;7;;;3327;
44;иной персонал;11544;1228;177;;3;;;3816;140;2326;32;3;;;8406;
45;из них:             ассистент (помощник);3;1;1;;;;;1;1;;;;;;2;7
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;194;98;92;;;;;79;78;;18;21;;;194;
49;из них воспитатели;166;82;76;;;;;69;68;;12;16;;;166;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;84;78;75;;;;;4;3;;2;7;;;64;
51;из них учителя;75;70;70;;;;;4;3;;2;4;;;55;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;908;632;617;;2;;;90;86;;105;116;;1;645;
53;из них учителя - всего;698;488;482;;1;;;56;53;;80;91;;1;469;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;145;99;94;;1;;;17;15;;10;16;;1;97;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;2271;1699;1569;;6;1;;135;113;1;208;196;;1;1265;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;107;87;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;2791;;;;;;;;;;;;;;;
58;из них директор;975;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;35632;;;;;;;;;;;;;;;
60;из них учителя;29347;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);734;;;;;;;;;;;;;;;
62;из них женщин;697;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;107;;;;;;;;;;;;;;;
64;медицинские сестры;627;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;32162;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;27021;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;25460;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;1561;;;;;;;;;;;;;;;
