;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);101961.01;90964.41;84873.55;62116;13179;2016;4376;12360;11715;62935;3900
2;в том числе:       руководящие работники – всего;5484.23;4973.96;4759.72;4332;548;14;286;692;647;4110;216
3;из них:             директор;1218.92;1173.92;1142.1;1153;94;;57;101;92;1183;25
4;заместители директора;3934.36;3459.29;3254.97;2858;401;11;199;530;482;2713;150
5;руководитель филиала;43;33.5;29;12;1;;;3;2;10;3
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);72870.6;66242.79;61589.49;42005;7670;933;3672;6234;5923;43448;1624
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);61465.57;56894.72;53138.01;36631;5969;702;2905;4896;4633;37698;836
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;15321.76;14561.17;13896.55;11547;1518;368;618;1322;1239;11736;67
9;русского языка и литературы;7286.58;6751.63;6325.54;4271;637;32;332;554;533;4349;121
10;языка народов России и литературы;11.69;9.02;8.52;4;;;;;;3;
11;истории, экономики, права, обществознания;4050.6;3794.44;3544.76;2520;413;8;223;332;313;2590;35
12;информатики;1323.71;1194.9;1108.43;770;161;14;85;115;110;807;47
13;физики;1720.63;1552.44;1431.75;1003;167;6;100;154;149;1009;64
