;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование образовательных программ;Численность обучающихся по образовательным программам - всего, чел;Сетевая форма реализации образовательных программ численность обучающихся (из графы 3) по программам, реализуемым с использованием сетевой формы - всего, чел;Сетевая форма реализации образовательных программ число органи-заций, с которыми заключены дого-воры на реализа-цию образователь-ных программ с использованием сетевой формы, единиц , ед;Электронное обучение численность обучающихся (из графы 3) с применением электронного обучения , чел;Электронное обучение в том числе (из графы 6) с применением исключительно электронного обучения, чел;Дистанционные образовательные технологии численность обучающихся (из графы 3) с применением дистанционных образовательных технологий, чел;Дистанционные образовательные технологии в том числе (из графы 8) с применением исключительно дистанционных образовательных технологий, чел
1;Всего по образовательным программам (сумма строк 02, 12, 22, 32);371817;2229;;36987;1875;16644;1875
2;Образовательные программы начального общего образования;149218;786;2;14999;758;5928;758
3;из них адаптированные;13750;87;;1508;62;739;62
4;в том числе:           для глухих;75;;;;;;
5;для слабослышащих и позднооглохших;167;2;;9;1;9;1
6;для слепых;18;;;;;;
7;для слабовидящих;355;2;;14;;8;
8;с тяжелыми нарушениями речи;6035;60;;653;36;362;36
9;с нарушениями опорно-двигательного аппарата;636;1;;170;4;37;4
10;с задержкой психического развития;6189;22;;626;20;303;20
11;с расстройствами аутистического спектра;275;;;36;1;20;1
12;Образовательные программы основного общего образования;179032;1132;7;17777;913;8530;913
13;из них адаптированные;2804;4;;449;6;170;6
14;в том числе:           для глухих;97;;;1;;;
15;для слабослышащих и позднооглохших;159;;;14;;9;
16;для слепых;17;;;;;;
17;для слабовидящих;250;;;9;1;9;1
18;с тяжелыми нарушениями речи;272;;;21;;13;
19;с нарушениями опорно-двигательного аппарата;791;2;;300;;81;
20;с задержкой психического развития;1102;2;;87;5;52;5
21;с расстройствами аутистического спектра;116;;;17;;6;
22;Образовательные программы среднего общего образования;32219;295;5;4007;197;2121;197
23;из них адаптированные;173;;;79;;32;
24;в том числе:           для глухих;4;;;;;;
25;для слабослышащих и позднооглохших;11;;;3;;2;
26;для слепых;4;;;;;;
27;для слабовидящих;14;;;4;;4;
28;с тяжелыми нарушениями речи;;;;;;;
29;с нарушениями опорно-двигательного аппарата;134;;;70;;24;
30;с задержкой психического развития;;;;;;;
31;с расстройствами аутистического спектра;6;;;2;;2;
32;Программы образования обучающихся с умственной отсталостью (интеллектуальными нарушениями);11348;16;2;204;7;65;7
33;Справочно. Код по ОКЕИ: человек – 792  Из общей численности обучающихся (из графы 3 подраздела 1.3.) – лица, имеющие кохлеарные импланты и обучающиеся по программам:    начального общего образования (из строки 02);74;;;;;;
34;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;54;;;;;;
35;основного общего образования (из строки 12);76;;;;;;
36;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;36;;;;;;
37;среднего общего образования (из строки 22);96;;;;;;
38;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;;;;;;;
39;образования обучающихся с умственной отсталостью    (интеллектуальными нарушениями) (из строки 32);54;;;;;;
40;из них в отдельных классах для обучающихся с ограниченными       возможностями здоровья;20;;;;;;
