;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);8134;271;105;47;574;655;778;955;987;1089;1253;1420;;;
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);8099;267;105;47;574;654;777;950;985;1085;1248;1407;;;
3;в том числе (из строки 02) обучались:       очно;7916;267;101;43;571;650;775;943;980;1010;1216;1360;;;
4;очно-заочно;183;;4;4;3;4;2;7;5;75;32;47;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;6587;203;;;419;503;629;776;859;923;1063;1212;;;
7;10 лет;384;;54;40;26;33;29;42;10;41;28;81;;;
8;11 лет;26;;6;;;6;;;5;;;9;;;
9;12 лет;1025;64;;;127;111;119;132;111;116;145;100;;;
10;13 лет;77;;45;7;2;1;;;;5;12;5;;;
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);35;4;;;;1;1;5;2;4;5;13;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;31;4;;;;1;1;3;2;3;4;13;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;3;;;;;;;1;;1;1;;;;
16;13 лет;1;;;;;;;1;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;35;4;;;;1;1;5;2;4;5;13;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
