;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);31929;10158;15998;4888;126;104;9;646;1737;30769;1027;133
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;29;11;17;1;;;;;;29;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;;;;;;;;;;;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;;;;;;;;;;;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;26515;9750;14144;1806;119;99;4;593;401;26379;116;20
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;50;;33;13;;;;4;9;50;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;110;75;35;;;;;;;110;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;134;;2;132;;;;;18;133;1;
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;1308;;29;1278;;;1;;189;1283;21;4
10;в связи с переходом на семейное образование и самообразование;1973;354;913;680;4;2;1;19;192;1961;2;10
11;по болезни;10;;3;5;;;;2;5;9;1;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;609;;451;156;;1;1;;187;551;28;30
13;выбыло по другим причинам;1351;43;439;830;3;2;2;32;745;424;858;69
