;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13
№ строки;Наименование показателей;Число ставок   по штату, единиц;Фактически занято, единиц всего;Фактически занято, единиц работниками списочного состава;Численность работников на начало предыдущего учебного года (без внешних совместителей и работавших по договорам гражданско-правового характера), человек;Принято работников, человек всего;Принято работников, человек из них выпускники: со средним про-фессиональным образованием по программам подготовки специалистов среднего звена;Принято работников, человек из них выпускники: с высшим образованием;Выбыло работников, человек всего;Выбыло работников, человек из них по собственному желанию;Численность работников на начало отчет- ного учебного года (без совместителей и работающих по договорам гражданско-правового характера), человек;Число вакантных должностей, единиц
1;Численность работников – всего (сумма строк 02, 06, 43,44);79997.16;78028.09;71005.38;50925;13050;510;576;12732;12610;51243;1717
2;в том числе:       руководящие работники – всего;3618.59;3527.59;3391.44;3065;579;4;37;590;587;3047;93
3;из них:             директор;867.28;840.18;836.98;826;101;;10;96;96;838;29
4;заместители директора;2393.34;2337.59;2208.7;1889;382;2;16;394;394;1909;54
5;руководитель филиала;84.56;81.56;77.76;80;12;1;;18;18;73;3
6;педагогические работники - всего (сумма строк 07, 30, 31, 35-42);54252.82;53108.73;47494.7;29507;6947;364;508;6636;6588;29797;1020
7;в том числе:             учителя–всего (сумма строк 08-18, 23-29);40408.93;39909.49;36293.81;22338;4713;263;369;4597;4564;22750;443
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;8897.01;8874.13;8455.34;6344;1209;153;81;589;583;6625;12
9;русского языка и литературы;5413.84;5379.53;4780.43;2846;542;9;51;926;921;2771;17
10;языка народов России и литературы;7.78;7.78;6.34;3;3;;;2;2;4;
11;истории, экономики, права, обществознания;2298.85;2288.13;2131.98;1334;252;3;20;217;214;1360;12
12;информатики;906.18;896.23;798.34;429;113;6;9;76;76;471;11
13;физики;1182.45;1165.24;1064.82;679;139;1;15;144;144;706;17
14;математики;4158.24;4117.02;3754.78;2259;468;9;45;490;489;2222;33
15;химии;606.98;604.59;544.11;330;74;1;9;53;53;361;3
16;географии;1120.99;1112.05;1027.37;697;135;1;19;123;123;706;8
17;биологии;1163.17;1158.75;1067.27;713;147;2;15;129;128;741;5
18;иностранных языков;3636.64;3565.74;3332.57;2118;404;6;64;416;414;2100;69
19;из них:                         английского языка;3464.76;3394.53;3166.92;1959;369;5;59;374;371;1989;68
20;немецкого языка;142.75;140.23;126.55;97;15;;;24;24;88;1
21;французского языка;6.66;6.66;6.66;8;3;;;3;3;8;
22;китайского языка;0.67;0.67;0.67;1;;;;1;1;;
23;физической культуры;2515.38;2505.81;2357.15;1631;322;35;13;287;286;1694;11
24;труда (технологии);1621.73;1607.41;1483.94;955;202;9;3;184;183;1006;13
25;музыки и пения;702.75;695.22;611.06;418;88;9;3;103;102;403;6
26;изобразительного искусства, черчения;471.08;469.85;425.14;274;54;4;3;56;56;276;2
27;основ безопасности и защиты Родины;270.64;267.2;229.21;85;29;;2;38;37;95;2
28;основ духовно-нравственной культуры народов России;57.6;57.6;51.77;1;1;;;1;1;3;
29;прочих предметов;5377.62;5137.21;4172.19;1222;531;15;17;763;752;1206;222
30;учителя-логопеды;1120.97;1053.23;943.16;618;150;3;12;124;122;642;64
31;учителя-дефектологи;948.26;894.34;779.07;437;110;4;18;87;86;460;54
32;из них:                      олигофренопедагог;753.84;709.37;634.69;330;79;2;12;63;62;374;36
33;тифлопедагог;31.37;30.87;30.22;15;4;1;2;1;1;20;
34;сурдопедагог;56.09;56.09;49.94;28;2;;2;4;4;34;
35;социальные педагоги;1004.29;952.88;852.09;635;181;9;7;171;170;639;42
36;педагоги дополнительного образования;3206.23;3068.68;2385.78;773;375;20;24;287;284;846;111
37;педагоги-психологи;1370.27;1286.02;1159.1;809;246;2;23;219;219;840;85
38;воспитатели;2940.47;2824.3;2538.62;1950;536;29;14;532;528;1943;101
39;мастера производственного обучения;17.38;14.88;10.5;5;1;;;4;4;2;4
40;тьюторы;298.19;273.33;227.08;142;67;3;1;65;65;139;28
41;советники директора по воспитанию и взаимодействию                с детскими общественными объединениям;280.6;275.6;243.1;91;105;5;24;31;31;183;6
42;другие;2657.23;2555.98;2062.39;1709;463;26;16;519;515;1353;82
43;учебно-вспомогательный персонал;3665.55;3425.85;3160.83;2439;684;31;17;665;651;2507;148
44;иной персонал;18460.2;17965.92;16958.41;15914;4840;111;14;4841;4784;15892;456
45;из них:             ассистент (помощник);42.9;32.9;30.9;13;10;1;;7;7;19;9
46;сурдопереводчик;2;2;0.7;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;
48;Из общей численности педагогических работников (стр.06):             персонал, работающий в подразделениях (группах)             дошкольного образования;1233.09;1183.83;1141.42;935;201;9;8;162;153;1024;43
49;из них воспитатели;1029.05;1002.31;963.55;829;175;7;7;145;136;903;24
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;107.94;107.94;106.05;129;3;;1;3;2;156;
51;из них учителя;106.78;106.78;94.78;128;3;;1;3;2;155;
;;;;;;;;;;;;
;;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам;Данные графы 12 по строкам 01–48 равны данным графы 3 подраздела 3.1 по соответствующим строкам
