;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);29;104;479;1810
2;в том числе       инженерные;5;21;135;341
3;медицинские;;2;;51
4;космические;;;;
5;педагогические;3;31;39;357
6;аграрные;3;5;32;21
7;предпринимательские;;2;;59
8;кадетские;10;7;230;164
9;IT-классы;3;;32;
10;другие;5;36;11;817
