;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;"Всего обу-чающихся (сумма граф 4,10; сумма граф 16-18)";Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Всего;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) лица с огра- ниченными возможностя- ми здоровья;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) из них (из гр. 5): дети-инвалиды;Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) инвалиды  (кроме учтенных в гр. 6);Все классы, кроме классов для обучающихся  с ограниченными возможностями здоровья Из них (из гр. 4) дети-инвали- ды (кроме учтенных в гр. 7);Классы для обучающихся с ограниченными возможностями здоровья Всего;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) лица с огра- ниченными возможностя- ми здоровья;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) из них (из гр. 11): дети-инвалиды;Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) инвалиды  (кроме учтенных в гр. 12);Классы для обучающихся с ограниченными возможностями здоровья Из них (из гр. 10) дети-инвали- ды (кроме учтенных в  гр. 13);В том числе обучающихся (из гр.3) очно;В том числе обучающихся (из гр.3) очно-заочно;В том числе обучающихся (из гр.3) заочно
1;Численность обучающихся – всего;100228;97278;3794;62;1024;11;320;2950;2682;37;1197;;;99669;553;6
2;из них обучаются:       по программам, реализуемым с использованием сетевой формы;1216;1216;44;;14;;2;;;;;;;1216;;
3;с применением электронного обучения;5585;5479;163;;31;;32;106;106;;3;;;5585;;
4;с применением дистанционных образовательных технологий;11459;11165;565;10;197;;34;294;294;;45;;;11443;16;
5;по индивидуальным учебным планам;1678;1236;1028;15;308;;19;442;435;25;321;;;1678;;
6;на дому;1093;734;562;19;430;;25;359;349;23;311;;;1093;;
7;в медицинской организации;2;2;1;;;;;;;;;;;2;;
8;из суммы строк 06 и 07:             с применением дистанционных образовательных технологий             (из строки 04);144;144;124;7;113;;1;;;;;;;144;;
9;по индивидуальным учебным планам (из строки 05);489;293;239;12;190;;8;196;196;23;143;;;489;;
