;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);13086;7031;6545;;23;;1;3229;1568;1097;2958;2479;1;20;11042;
2;в том числе:       руководящие работники – всего;813;750;710;;6;;;53;35;2;249;112;;3;748;
3;из них:             директор;253;247;233;;5;;;2;1;;81;33;;2;218;
4;заместители директора;524;464;420;;1;;;41;26;2;140;71;;1;498;
5;руководитель филиала;31;27;23;;;;;4;4;;8;2;;;27;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);7752;5906;5686;;17;;1;1607;1452;24;2696;2362;;17;7010;5311.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);6489;5060;4897;;13;;1;1247;1153;16;2417;2086;;16;5825;4377.3
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;1986;1243;1216;;;;;678;648;4;678;718;;4;1974;1475.7
9;русского языка и литературы;794;720;712;;5;;1;56;54;3;370;233;;3;782;
10;языка народов России и литературы;3;1;1;;;;;2;2;;1;;;;3;
11;истории, экономики, права, обществознания;437;395;378;;1;;;33;28;;170;130;;1;354;
12;информатики;146;121;112;;;;;21;19;;46;56;;;105;
13;физики;189;170;163;;1;;;8;5;;72;63;;1;140;
14;математики;603;557;542;;;;;32;27;;236;185;;2;570;
15;химии;148;145;140;;2;;;3;3;;77;37;;;143;
16;географии;220;197;190;;;;;21;19;;89;72;;;202;
17;биологии;203;182;178;;1;;;15;13;;98;47;;2;194;
18;иностранных языков;621;555;543;;1;;;48;45;;200;214;;;591;
19;из них:                         английского языка;558;491;476;;;;;41;38;;178;183;;;530;
20;немецкого языка;55;52;52;;1;;;3;3;;15;21;;;53;
21;французского языка;5;4;4;;;;;;;;4;1;;;5;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;466;299;289;;;;;160;149;;174;131;;1;256;
24;труда (технологии);310;203;189;;1;;;92;76;8;90;101;;1;219;
25;музыки и пения;91;61;55;;;;;27;19;;29;23;;;87;
26;изобразительного искусства, черчения;83;57;51;;1;;;22;22;;28;26;;;82;
27;основ безопасности и защиты Родины;93;74;60;;;;;16;12;1;32;25;;;29;
28;основ духовно-нравственной культуры народов России;6;5;4;;;;;1;1;;2;1;;;6;
29;прочих предметов;90;75;74;;;;;12;11;;25;24;;1;88;
30;учителя-логопеды;126;119;117;;;;;5;5;1;39;31;;;123;95.2
31;учителя-дефектологи;43;40;39;;;;;3;2;;19;7;;;43;39.2
32;из них:                   олигофренопедагог;10;10;10;;;;;;;;5;3;;;10;10.5
33;тифлопедагог;2;2;2;;;;;;;;2;;;;2;2
34;сурдопедагог;2;2;2;;;;;;;;1;;;;2;2
35;социальные педагоги;174;117;107;;;;;50;41;2;21;50;;;170;107.2
36;педагоги дополнительного образования;87;55;46;;;;;26;17;;20;8;;;59;58.9
37;педагоги-психологи;166;152;148;;2;;;8;6;1;54;35;;;163;122.1
38;воспитатели;417;197;186;;1;;;202;181;4;93;113;;;398;358.8
39;мастера производственного обучения;4;;;;;;;3;2;;;;;;;1.4
40;тьюторы;11;9;7;;;;;1;1;;1;1;;;11;8.7
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;65;47;43;;;;;13;12;;7;8;;;63;38.9
42;другие;170;110;96;;1;;;49;32;;25;23;;1;155;116.9
43;учебно-вспомогательный персонал;533;165;88;;;;;238;45;44;5;3;1;;481;
44;иной персонал;3988;210;61;;;;;1331;36;1027;8;2;;;2803;
45;из них:             ассистент (помощник);2;2;2;;;;;;;;;;;;2;12
46;сурдопереводчик;;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;185;83;80;;;;;88;81;2;48;40;;;184;
49;из них воспитатели;161;60;55;;;;;80;73;2;33;36;;;160;
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;34;13;13;;;;;3;3;;4;2;;;30;
51;из них учителя;28;13;13;;;;;3;3;;4;2;;;25;
52;персонал, работающий в отдельных классах для             обучающихся с ограниченными возможностями здоровья;264;207;204;;;;;32;25;;37;38;;;147;
53;из них учителя - всего;206;136;134;;;;;22;14;;22;18;;;114;
54;из них учителя, осуществляющие деятельность по                    реализации программ начального общего образования;26;15;15;;;;;6;4;;2;2;;;13;
55;персонал, получающий надбавки за работу с лицами с             ограниченными возможностями здоровья, находящимися             на совместном обучении;1044;786;778;;;;;131;118;3;248;201;;1;737;
56;Из общей численности учителей-дефектологов (строка 31 графа 3) - учителя, имеющие специальное дефектологическое образование;27;17;;;;;;;;;;;;;;
57;Справочно. Код по ОКЕИ: человек – 792  Численность руководителей (из стр. 02, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;568;;;;;;;;;;;;;;;
58;из них директор;196;;;;;;;;;;;;;;;
59;Численность педагогических работников (из стр. 06, гр. 03), прошедших в течение последних трех лет повышение квалификации и (или) профессиональную переподготовку;6137;;;;;;;;;;;;;;;
60;из них учителя;4756;;;;;;;;;;;;;;;
61;Кроме того (кроме стр. 01, гр. 03), численность медицинских работников (сумма строк 63, 64);72;;;;;;;;;;;;;;;
62;из них женщин;69;;;;;;;;;;;;;;;
63;в том числе:          врачи всех специальностей;9;;;;;;;;;;;;;;;
64;медицинские сестры;63;;;;;;;;;;;;;;;
65;Из строки 07 графы 3 численность учителей, использующих в учебном процессе персональные компьютеры;5247;;;;;;;;;;;;;;;
66;Из строки 06 графы 3 численность педагогических работников, осуществляющих классное руководство;4540;;;;;;;;;;;;;;;
67;в том числе:       осуществляющих классное руководство в одном классе;4075;;;;;;;;;;;;;;;
68;осуществляющих классное руководство в двух и более класса;465;;;;;;;;;;;;;;;
