;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателя;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Число классов с нормативным сроком освоения программ 9 лет, ед.;275;14;;;16;27;30;29;30;45;45;39;;;
2;В них обучающихся, чел.;952;36;;;61;92;107;93;111;155;147;150;;;
3;Число классов с нормативным сроком освоения программ 10 лет, ед.;101;;9;14;14;8;8;14;12;7;9;6;;;
4;В них обучающихся, чел.;633;;36;59;71;66;56;92;90;57;48;58;;;
5;Число классов с нормативным сроком освоения программ 11 лет, ед.;24;1;3;6;3;4;1;;2;;;;3;1;
6;В них обучающихся, чел.;93;2;8;24;18;7;2;;6;;;;18;8;
7;Число классов с нормативным сроком освоения программ 12 лет, ед.;31;7;;;3;2;1;3;2;1;1;3;4;2;2
8;В них обучающихся, чел.;130;28;;;17;11;6;13;6;5;7;11;16;7;3
9;Число классов с нормативным сроком освоения программ 13 лет, ед.;36;;2;5;4;4;3;2;5;3;5;;1;1;1
10;В них обучающихся, чел.;223;;17;27;11;26;16;16;24;34;27;;14;4;7
11;Итого классов для обучающихся с умственной отсталостью (интеллектуальными нарушениями), ед. (сумма строк 01, 03, 05, 07, 09);467;22;14;25;40;45;43;48;51;56;60;48;8;4;3
12;"В них обучающихся, чел. (сумма строк 02, 04, 06, 08, 10;    сумма строк 13-15)";2031;66;61;110;178;202;187;214;237;251;229;219;48;19;10
13;в том числе обучаются:          очно;2031;66;61;110;178;202;187;214;237;251;229;219;48;19;10
14;очно-заочно;;;;;;;;;;;;;;;
15;заочно;;;;;;;;;;;;;;;
16;из них (из строки 12):       воспитанники (без приходящих учащихся);344;7;5;11;32;31;38;37;44;33;49;30;15;11;1
17;девочки;737;20;24;36;60;74;66;78;92;83;82;89;19;7;7
18;лица с ограниченными возможностями здоровья;1939;52;61;110;170;196;177;204;231;245;221;205;43;15;9
19;из них (из строки 18):             инвалиды;21;;;;;;1;1;;1;;2;3;4;9
20;дети-инвалиды;1124;31;55;84;112;105;95;108;131;123;124;119;30;7;
21;инвалиды (кроме учтенных в строке 19);;;;;;;;;;;;;;;
22;дети-инвалиды (кроме учтенных в строке 20);;;;;;;;;;;;;;;
23;дети-сироты и дети, оставшиеся без попечения родителей;55;;2;1;7;6;5;11;1;6;6;10;;;
24;из них воспитанники (без приходящих учащихся);19;;;;2;2;2;5;;1;4;3;;;
25;обучающиеся иностранные граждане;;;;;;;;;;;;;;;
26;из них девочки;;;;;;;;;;;;;;;
27;обучающиеся лица без гражданства;;;;;;;;;;;;;;;
