;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;10902;371;4498;6033;10831;71;
2;из них:        русский язык;579;;372;207;579;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;3813;;1292;2521;3813;;
8;изобразительное искусство;177;;177;;177;;
9;музыка;277;;277;;277;;
10;труд (технология);;;;;;;
11;физическая культура;49;49;;;49;;
12;литература;718;;48;670;648;70;
13;родная литература;;;;;;;
14;иностранный язык;1622;322;823;477;1621;1;
15;из них:              английский;1602;322;814;466;1601;1;
16;немецкий;11;;;11;11;;
17;французский;9;;9;;9;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1408;;868;540;1408;;
23;история;1021;;53;968;1021;;
24;обществознание;3524;;198;3326;3524;;
25;география;148;;22;126;148;;
26;физика;1033;;267;766;1033;;
27;химия;1091;;203;888;1021;70;
28;биология;1933;;612;1321;1933;;
29;основы безопасности и защиты Родины;;;;;;;
