;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего  (сумма граф 4 - 17);1-й класс;1-й класс первого года обучения;1-й класс второго года обучения;2-й класс;3-й класс;4-й класс;5-й класс;6-й класс;7-й класс;8-й класс;9-й класс;10-й класс;11-й класс;12-й класс
1;Всего обучающихся, окончивших классы (сумма строк 02, 11);2089;73;102;87;186;212;198;230;266;207;222;264;16;19;7
2;Численность обучающихся, окончивших данный класс – всего  (сумма строк 03–05) (сумма строк 06–10);2083;73;102;86;186;212;198;230;265;207;222;260;16;19;7
3;в том числе (из строки 02) обучались:       очно;2082;73;102;85;186;212;198;230;265;207;222;260;16;19;7
4;очно-заочно;1;;;1;;;;;;;;;;;
5;заочно;;;;;;;;;;;;;;;
6;в том числе (из строки 02)  по программам с нормативным    сроком освоения:       9 лет;915;31;;;75;90;85;91;136;121;128;158;;;
7;10 лет;635;;60;54;58;70;64;95;66;33;71;64;;;
8;11 лет;207;15;10;23;16;21;18;16;17;20;15;21;8;7;
9;12 лет;118;27;;;10;13;12;5;10;8;4;15;4;5;5
10;13 лет;208;;32;9;27;18;19;23;36;25;4;2;4;7;2
11;Численность экстернов, окончивших данный класс (сумма строк 12–16);6;;;1;;;;;1;;;4;;;
12;в том числе по программам с нормативным сроком освоения:       9 лет;5;;;;;;;;1;;;4;;;
13;10 лет;;;;;;;;;;;;;;;
14;11 лет;;;;;;;;;;;;;;;
15;12 лет;;;;;;;;;;;;;;;
16;13 лет;1;;;1;;;;;;;;;;;
17;Из строки 11 – обучались:       в форме семейного образования;4;;;1;;;;;1;;;2;;;
18;по программам, не имеющим государственной аккредитации;;;;;;;;;;;;;;;
