;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
№ строки;Наименование показателей;Общая численность обучающихся (сумма граф  4, 7, 10);Численность обучающихся по программам начального общего образования – всего (1–4 классы);Численность обучающихся по программам из графы 4 девочки;Численность обучающихся по программам из графы 4 обучающиеся 1-х классов без оставленных на повторное обучение;Численность обучающихся по программам основного общего образования – всего (5-9 классы);Численность обучающихся по программам из графы 7 девочки;Численность обучающихся по программам из графы 7 обучающиеся 5-х классов без оставленных на повторное обучение;Численность обучающихся по программам среднего общего образования – всего (10-11(12) классы;Численность обучающихся по программам из графы 10 девочки;Численность обучающихся по программам из графы 10 обучающиеся 10-х классов без оставленных на повторное обучение;из них (из графы 3) обучающиеся по очно-заочной и заочной формам обучения*;из них (из графы 3) обучающиеся иностранные граждане;из них (из графы 3) из них (из гр. 14) девочки;из них (из графы 3) обучающиеся лица без гражданства
1;Всего;112975;45086;22148;9846;59151;29103;11810;8738;4572;4455;399;208;84;2
2;В том числе в возрасте (число полных лет на 1 января следующего календарного года):    5 лет;3;3;2;3;;;;;;;;;;
3;6 лет;1137;1131;602;1107;6;;;;;;;3;;
4;7 лет;9169;9149;4494;7962;20;;;;;;;11;4;
5;8 лет;11321;11311;5523;740;10;;;;;;;18;6;
6;9 лет;11771;11751;5905;32;20;1;2;;;;;41;23;
7;10 лет;12076;10664;5151;2;1412;724;1273;;;;;27;4;
8;11 лет;11977;977;440;;11000;5355;9303;;;;;22;13;2
9;12 лет;12332;54;13;;12278;6067;1135;;;;1;20;10;
10;13 лет;11898;23;12;;11875;5896;69;;;;10;17;6;
11;14 лет;11468;3;;;11461;5670;22;4;3;4;3;25;7;
12;15 лет;10659;17;4;;9998;4957;3;644;350;579;125;13;3;
13;16 лет;5113;2;1;;955;404;1;4156;2189;3463;68;6;6;
14;17 лет;3692;1;1;;96;18;2;3595;1882;350;54;3;2;
15;18 лет;260;;;;12;6;;248;138;6;44;1;;
16;19 лет;16;;;;6;4;;10;8;2;13;;;
17;20 лет;6;;;;1;;;5;1;2;5;;;
18;21 год;2;;;;;;;2;;1;1;1;;
19;22 года;6;;;;;;;6;1;3;6;;;
20;23 года;4;;;;;;;4;;2;4;;;
21;24 года;5;;;;;;;5;;4;5;;;
22;25 лет;7;;;;;;;7;;5;7;;;
23;26 лет;8;;;;1;1;;7;;3;8;;;
24;27 лет;7;;;;;;;7;;5;7;;;
25;28 лет;8;;;;;;;8;;7;8;;;
26;29 лет;9;;;;;;;9;;8;9;;;
27;30–34 года;14;;;;;;;14;;7;14;;;
28;35–39 лет;4;;;;;;;4;;3;4;;;
29;40 лет и старше;3;;;;;;;3;;1;3;;;
*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05;*Заполняется организацией, указавшей в подразделе 1.2 код «1» по строке 04 или по строке 05
