;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
№ строки;Наименование показателей;Всего, человек;Из них (из графы 3) имеют образование: Высшее;Из них (из графы 3) имеют образование: из них (графы 4) педагогическое;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень доктора наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученую степень кандидата наук;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание профессора;Из них (из графы 3) имеют образование: Из графы 4 имеют ученое звание доцента;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки специалистов среднего звена;Из них (из графы 3) имеют образование: из них  (графы 10) педагогическое;Из них (из графы 3) имеют образование: среднее про- фессиональное образование по программам подготовки квалифициро-ванных рабочих служащих;Из графы 3 имеют квалификационные категории высшую;Из графы 3 имеют квалификационные категории первую;Из графы 3 имеют квалификационные категории педагог-методист;Из графы 3 имеют квалификационные категории педагог-наставник;Из графы 3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 06, 43, 44);20965;13067;12015;2;45;;1;4555;1582;1950;1881;5871;6;13;17351;
2;в том числе:       руководящие работники – всего;1239;1174;1008;;12;;;56;12;4;86;366;;;1048;
3;из них:             директор;431;423;403;;5;;;2;1;;39;169;;;326;
4;заместители директора;710;654;539;;6;;;43;9;4;44;170;;;629;
5;руководитель филиала;22;22;21;;;;;;;;;8;;;18;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);12904;11136;10879;2;33;;1;1615;1514;9;1789;5500;6;13;11436;7206.2
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);10648;9371;9240;2;28;;1;1171;1114;4;1655;4980;5;10;9370;6042.8
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3104;2418;2399;;;;;658;643;;454;1539;;4;3092;1887.5
9;русского языка и литературы;1308;1275;1266;;4;;;27;24;;188;678;1;1;1286;
10;языка народов России и литературы;2;1;1;;;;;;;;;1;;;2;
11;истории, экономики, права, обществознания;671;659;655;2;10;;;9;8;;113;325;1;;554;
12;информатики;222;208;201;;2;;;11;9;;42;83;;;157;
13;физики;313;302;301;;3;;;3;3;;56;153;;;226;
14;математики;941;914;906;;;;;20;19;;159;458;1;3;882;
15;химии;255;252;251;;1;;;3;3;;48;108;;;238;
16;географии;381;371;367;;;;;9;8;;55;201;;;337;
17;биологии;295;286;286;;;;1;7;7;;61;143;;;279;
18;иностранных языков;974;930;921;;5;;;37;36;;123;429;;;940;
19;из них:                         английского языка;787;748;741;;4;;;25;24;;100;308;;;754;
20;немецкого языка;146;135;131;;;;;10;10;;11;85;;;146;
21;французского языка;31;31;31;;1;;;;;;10;11;;;30;
22;китайского языка;;;;;;;;;;;;;;;;
23;физической культуры;805;599;588;;1;;;189;179;1;150;325;;;353;
24;труда (технологии);484;415;389;;2;;;62;51;2;81;216;;1;305;
25;музыки и пения;245;171;164;;;;;66;59;;54;79;1;;220;
