;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);20965;1394;877;1618;1776;1935;13365;14036;1306;793;1270;1186;1098;8383;6929
2;в том числе:       руководящие работники – всего;1239;12;19;57;88;143;920;1028;21;23;62;77;106;739;211
3;из них:             директор;431;;5;14;19;26;367;428;3;6;18;24;27;350;3
4;заместители директора;710;10;13;40;64;100;483;564;17;17;38;51;75;366;146
5;руководитель филиала;22;;;1;;3;18;22;;;4;;1;17;
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);12904;1135;619;1066;1072;1074;7938;12762;1263;736;1174;1090;982;7517;142
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);10648;847;474;794;789;836;6908;10563;906;539;884;801;773;6660;85
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;3104;243;151;210;184;184;2132;3079;235;160;217;191;182;2094;25
9;русского языка и литературы;1308;102;44;79;72;115;896;1302;103;47;86;76;103;887;6
10;языка народов России и литературы;2;1;;;;;1;2;1;;;;;1;
11;истории, экономики, права, обществознания;671;59;37;49;47;64;415;666;61;37;55;52;58;403;5
12;информатики;222;31;10;23;30;30;98;219;32;14;24;30;28;91;3
13;физики;313;19;8;15;11;19;241;312;23;8;18;15;17;231;1
14;математики;941;70;33;59;54;51;674;933;78;35;60;49;51;660;8
15;химии;255;13;10;15;13;24;180;255;14;14;17;12;19;179;
16;географии;381;15;9;24;14;35;284;381;19;10;25;18;35;274;
17;биологии;295;22;7;10;13;17;226;291;20;9;12;15;16;219;4
18;иностранных языков;974;100;53;104;147;127;443;965;105;59;117;150;108;426;9
19;из них:                         английского языка;787;96;47;97;132;108;307;778;100;50;108;135;89;296;9
20;немецкого языка;146;1;3;4;14;15;109;146;1;6;6;14;16;103;
21;французского языка;31;2;3;1;1;4;20;31;3;3;1;1;3;20;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;805;85;56;93;85;50;436;798;93;68;106;79;49;403;7
24;труда (технологии);484;16;11;26;31;45;355;482;27;21;38;38;41;317;2
25;музыки и пения;245;24;13;13;20;20;155;237;22;13;15;20;22;145;8
26;изобразительного искусства, черчения;187;14;7;22;17;12;115;184;18;8;23;11;12;112;3
27;основ безопасности и защиты Родины;183;12;11;12;18;20;110;181;21;13;24;15;18;90;2
28;основ духовно-нравственной культуры народов России;34;;;2;6;4;22;34;1;1;3;8;2;19;
29;прочих предметов;244;21;14;38;27;19;125;242;33;22;44;22;12;109;2
30;учителя-логопеды;212;15;9;28;27;21;112;212;17;11;30;27;20;107;
31;учителя-дефектологи;68;7;2;7;9;10;33;68;7;4;14;11;5;27;
32;из них:                   олигофренопедагог;24;;;1;1;5;17;24;;;2;5;3;14;
33;тифлопедагог;;;;;;;;;;;;;;;
34;сурдопедагог;7;1;;1;1;;4;7;1;;1;2;;3;
35;социальные педагоги;134;8;8;7;25;20;66;130;21;9;13;21;11;55;4
36;педагоги дополнительного образования;286;67;16;46;31;22;104;270;76;33;41;23;26;71;16
37;педагоги-психологи;286;35;22;35;44;46;104;283;41;29;40;52;36;85;3
38;воспитатели;694;67;36;82;70;65;374;679;79;50;73;74;68;335;15
39;мастера производственного обучения;10;;;1;;1;8;10;2;;3;;2;3;
40;тьюторы;101;25;14;7;9;10;36;98;31;14;12;7;7;27;3
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;87;12;11;19;24;8;13;87;17;15;20;21;4;10;
42;другие;378;52;27;40;44;35;180;362;66;32;44;53;30;137;16
43;учебно-вспомогательный персонал;778;44;42;80;101;104;407;95;7;19;15;8;6;40;683
44;иной персонал;6044;203;197;415;515;614;4100;151;15;15;19;11;4;87;5893
45;из них:             ассистент (помощник);4;1;1;;;;2;2;;;;;;2;2
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;178;17;16;24;30;29;62;174;20;21;25;25;29;54;4
49;из них воспитатели;151;14;13;24;25;21;54;148;18;16;22;24;20;48;3
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;12;;;;1;3;8;12;;;;1;3;8;
51;из них учителя;12;;;;1;3;8;12;;;;1;3;8;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
