;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);1282;694;497.4
2;в том числе:       руководящие работники – всего;16;14;7.9
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);773;519;236.9
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);486;344;133.8
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;27;27;13.3
6;русского языка и литературы;28;28;12.6
7;языка народов России и литературы;1;1;0.2
8;истории, экономики, права, обществознания;33;20;8.5
9;информатики;32;12;12.4
10;физики;32;14;11.5
11;математики;43;34;14.5
12;химии;32;29;11.3
13;географии;15;11;4.2
14;биологии;22;18;6.1
15;иностранных языков;55;53;15.5
16;из них:                      английского языка;34;28;9.4
17;немецкого языка;19;19;5
18;французского языка;1;1;0.1
19;китайского языка;;;
20;физической культуры;33;7;7.1
21;труда (технологии);17;10;6.2
22;музыки и пения;41;31;11.8
23;изобразительного искусства, черчения;10;8;2.3
24;основ безопасности и защиты Родины;17;5;2.5
25;основ духовно-нравственной культуры народов России;;;
26;прочих предметов;48;36;15.8
27;учителя-логопеды;16;16;5.9
28;учителя-дефектологи;2;2;1
29;из них:                олигофренопедагог;1;1;1
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;;;
33;педагоги дополнительного образования;217;123;73.5
34;педагоги-психологи;5;4;1.4
35;воспитатели;5;5;0.5
36;мастера производственного обучения;;;
37;тьюторы;1;;
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;6;5;3.2
39;другие;35;20;22.9
40;учебно-вспомогательный персонал;85;43;39
41;иной персонал;408;118;186.7
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;1;1;
46;из них воспитатели;;;
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;1;1;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;19;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);37;;
53;из них женщин;35;;
54;в том числе:          врачи всех специальностей;11;;
55;медицинские сестры;26;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;193;;
