;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;16033;400;6525;9108;15974;59;
2;из них:        русский язык;1028;196;671;161;1028;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;;;;;;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;6232;;1794;4438;6231;1;
8;изобразительное искусство;2;;;2;2;;
9;музыка;;;;;;;
10;труд (технология);28;;28;;28;;
11;физическая культура;72;72;;;72;;
12;литература;1230;;74;1156;1174;56;
13;родная литература;;;;;;;
14;иностранный язык;3137;132;2116;889;3137;;
15;из них:              английский;3078;132;2071;875;3078;;
16;немецкий;51;;45;6;51;;
17;французский;8;;;8;8;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;2769;;932;1837;2768;1;
23;история;1139;;182;957;1139;;
24;обществознание;4156;;159;3997;4154;2;
25;география;326;;;326;325;1;
26;физика;2105;;499;1606;2105;;
27;химия;1317;;371;946;1317;;
28;биология;1884;;555;1329;1827;57;
29;основы безопасности и защиты Родины;;;;;;;
