;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);30;146;556;2334
2;в том числе       инженерные;1;27;26;467
3;медицинские;1;5;18;62
4;космические;;;;
5;педагогические;3;72;49;1130
6;аграрные;5;7;118;106
7;предпринимательские;;4;;68
8;кадетские;11;1;188;23
9;IT-классы;2;9;31;140
10;другие;7;21;126;338
