;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14
№ строки;Наименование показателя;"Всего  (сумма граф 4–10;  сумма граф  12-14)";Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы начального общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы основного общего образования;Все классы, кроме классов для обучающихся с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы начального общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы основного общего образования;Классы для обучающихся  с ограниченными возможностями здоровья программы среднего общего образования;Классы для обучающихся  с ограниченными возможностями здоровья образование обучающихся с умственной отсталостью (интеллектуаль- ными нарушениями);Из графы 3 – лица в возрасте 18 лет и старше;Из графы 3 - обучались очно;Из графы 3 - обучались очно-заочно;Из графы 3 - обучались заочно
1;Выбыло обучающихся – всего (сумма строк 02, 05, 08–13);14846;5083;7284;2137;122;109;13;98;168;14554;232;60
2;в том числе:       продолжили обучение в данной организации в классах  иной формы       обучения или иной направленности;175;21;137;12;2;1;;2;;175;;
3;из них (из строки 02):             в классах с иной формой обучения в пределах одной и той же             направленности;56;19;22;12;2;1;;;;56;;
4;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в классы для обучающихся             с ограниченными возможностями здоровья;11;6;5;;;;;;;11;;
5;выбыли в другие организации для продолжения обучения по       программам начального, основного или среднего общего образования;11528;4625;6006;635;107;85;3;67;38;11498;30;
6;из них (из строки 05) выбыло:             в классы иной формы обучения в пределах одной и той же             направленности;487;137;304;13;14;12;;7;;487;;
7;из всех классов, кроме классов для обучающихся с ограниченными             возможностями здоровья, в организации (классы) для обучающихся             с ограниченными возможностями здоровья;76;51;23;2;;;;;;76;;
8;на обучение по программам среднего профессионального образования –       программам подготовки квалифицированных рабочих, служащих;830;;151;674;;1;4;;9;809;13;8
9;на обучение по программам среднего профессионального образования –       программы подготовки специалистов среднего звена;532;;129;385;;12;6;;3;525;7;
10;в связи с переходом на семейное образование и самообразование;1035;281;579;171;3;1;;;6;983;14;38
11;по болезни;4;;1;3;;;;;1;3;1;
12;отчислено лиц, не прошедших итоговой аттестации, получивших на       итоговой аттестации неудовлетворительные результаты или освоивших       часть образовательной программы со справкой об обучении       или о периоде обучения;53;;18;32;;3;;;40;40;13;
13;выбыло по другим причинам;689;156;263;225;10;6;;29;71;521;154;14
