;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
1;2;3;4;5;6;7;8;9
№ строки;Наименование показателей;"Всего  (сумма граф 4-6; сумма граф 7-9)";Из графы 3 обучающихся по образовательным программам начального общего образования (1–4 классы);Из графы 3 обучающихся по образовательным программам основного общего образования (5–9 классы);Из графы 3 обучающихся по образовательным программам среднего общего образования (10–11(12) классы);Из графы 3 обучаются очно;Из графы 3 обучаются очно-заочно;Из графы 3 обучаются заочно
1;Численность обучающихся, углубленно изучающих  учебные предметы - всего;16511;454;6786;9271;16037;254;220
2;из них:        русский язык;1513;;1289;224;1513;;
3;литературное чтение;;;;;;;
4;родной язык и (или) государственный язык       республики Российской Федерации;30;;30;;30;;
5;литературное чтение на родном языке;;;;;;;
6;окружающий мир;;;;;;;
7;математика;6697;143;2620;3934;6528;134;35
8;изобразительное искусство;;;;;;;
9;музыка;;;;;;;
10;труд (технология);56;56;;;56;;
11;физическая культура;89;89;;;89;;
12;литература;730;;70;660;730;;
13;родная литература;;;;;;;
14;иностранный язык;2232;166;1543;523;2232;;
15;из них:              английский;2147;151;1494;502;2147;;
16;немецкий;58;15;35;8;58;;
17;французский;27;;14;13;27;;
18;испанский;;;;;;;
19;другие европейские языки;;;;;;;
20;китайский;;;;;;;
21;другие восточные языки;;;;;;;
22;информатика;1966;;632;1334;1966;;
23;история;2028;;223;1805;1555;253;220
24;обществознание;4873;;506;4367;4687;1;185
25;география;200;;26;174;200;;
26;физика;2316;;488;1828;2316;;
27;химия;1422;;167;1255;1422;;
28;биология;2384;;500;1884;2264;120;
29;основы безопасности и защиты Родины;17;;;17;17;;
