;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
№ строки;Наименование показателей;Всего (сумма граф 4 - 9);Из графы 3 – имеют общий стаж работы, лет до 3;Из графы 3 – имеют общий стаж работы, лет от 3 до 5;Из графы 3 – имеют общий стаж работы, лет от 5 до 10;Из графы 3 – имеют общий стаж работы, лет от 10 до 15;Из графы 3 – имеют общий стаж работы, лет от 15 до 20;Из графы 3 – имеют общий стаж работы, лет 20 и более;Из гр. 3  имеют стаж педагоги- ческой работы- всего (сумма граф 11-16);Из графы 10 – имеют педагогический стаж работы, лет до 3;Из графы 10 – имеют педагогический стаж работы, лет от 3 до 5;Из графы 10 – имеют педагогический стаж работы, лет от 5 до 10;Из графы 10 – имеют педагогический стаж работы, лет от 10 до 15;Из графы 10 – имеют педагогический стаж работы, лет от 15 до 20;Из графы 10 – имеют педагогический стаж работы, лет 20 и более;Не имеют стажа педа- гогической работы
1;Численность работников – всего (сумма строк 02, 06, 43, 44);15734;1041;584;1147;1381;1611;9970;10586;1043;544;866;875;923;6335;5148
2;в том числе:       руководящие работники – всего;965;14;12;45;75;120;699;823;22;20;53;70;84;574;142
3;из них:             директор;252;1;1;4;9;29;208;251;1;4;9;16;25;196;1
4;заместители директора;557;10;8;39;57;59;384;508;19;14;42;52;52;329;49
5;руководитель филиала;64;2;1;;3;9;49;61;2;2;2;2;7;46;3
6;педагогические работники – всего (сумма строк 07, 30, 31, 35-42);9654;864;419;731;807;863;5970;9598;1003;511;798;786;824;5676;56
7;в том числе:             учителя – всего (сумма строк 08-18, 23-29);7920;664;317;529;607;656;5147;7891;728;373;573;602;645;4970;29
8;в том числе:                   учителя, осуществляющие деятельность по реализации                   программ начального общего образования;2376;167;87;144;171;169;1638;2372;179;104;157;171;172;1589;4
9;русского языка и литературы;1001;83;30;58;57;59;714;997;84;36;57;56;63;701;4
10;языка народов России и литературы;;;;;;;;;;;;;;;
11;истории, экономики, права, обществознания;551;71;25;47;47;54;307;544;69;29;52;52;47;295;7
12;информатики;216;15;11;21;23;40;106;216;20;14;20;23;36;103;
13;физики;240;16;11;10;22;18;163;240;19;10;15;20;16;160;
14;математики;797;70;32;54;54;60;527;796;82;38;58;44;59;515;1
15;химии;193;5;5;11;10;17;145;192;7;8;11;10;16;140;1
16;географии;249;9;5;10;8;20;197;248;10;6;11;9;20;192;1
17;биологии;232;13;13;9;10;26;161;231;16;14;10;9;28;154;1
18;иностранных языков;837;106;44;94;106;90;397;835;117;50;100;99;83;386;2
19;из них:                         английского языка;677;98;39;81;97;81;281;675;109;44;86;90;73;273;2
20;немецкого языка;136;6;4;12;7;8;99;136;6;5;13;7;9;96;
21;французского языка;19;2;1;1;2;1;12;19;2;1;1;2;1;12;
22;китайского языка;;;;;;;;;;;;;;;
23;физической культуры;512;54;23;37;53;49;296;509;55;25;42;56;49;282;3
24;труда (технологии);298;17;13;6;12;20;230;295;19;15;10;16;23;212;3
25;музыки и пения;131;18;2;11;9;12;79;130;20;4;10;8;11;77;1
26;изобразительного искусства, черчения;130;12;8;9;12;12;77;130;12;11;8;14;11;74;
27;основ безопасности и защиты Родины;101;8;7;5;10;6;65;100;13;8;9;9;7;54;1
28;основ духовно-нравственной культуры народов России;2;;;;1;;1;2;;;;1;;1;
29;прочих предметов;54;;1;3;2;4;44;54;6;1;3;5;4;35;
30;учителя-логопеды;108;10;5;17;10;27;39;107;15;10;16;10;23;33;1
31;учителя-дефектологи;92;17;6;13;10;4;42;91;16;9;17;7;4;38;1
32;из них:                   олигофренопедагог;41;5;2;6;5;1;22;41;5;4;8;3;1;20;
33;тифлопедагог;4;;;1;;;3;4;;;1;;;3;
34;сурдопедагог;7;;;;;;7;7;;;;;;7;
35;социальные педагоги;74;7;3;10;6;5;43;71;16;5;6;5;4;35;3
36;педагоги дополнительного образования;84;15;2;6;11;8;42;83;17;6;7;9;7;37;1
37;педагоги-психологи;222;39;17;32;31;24;79;218;52;15;38;29;22;62;4
38;воспитатели;824;69;44;79;96;109;427;811;103;61;97;87;85;378;13
39;мастера производственного обучения;5;;;2;;;3;4;;1;1;;;2;1
40;тьюторы;92;12;12;15;13;13;27;92;18;13;14;14;11;22;
41;советники директора по воспитанию и взаимодействию             с детскими общественными объединениям;38;10;6;11;5;;6;37;12;6;9;5;1;4;1
42;другие;195;21;7;17;18;17;115;193;26;12;20;18;22;95;2
43;учебно-вспомогательный персонал;632;42;31;62;85;87;325;92;12;8;12;14;9;37;540
44;иной персонал;4483;121;122;309;414;541;2976;73;6;5;3;5;6;48;4410
45;из них:             ассистент (помощник);10;2;1;3;1;1;2;2;1;1;;;;;8
46;сурдопереводчик;;;;;;;;;;;;;;;
47;тифлосурдопереводчик;;;;;;;;;;;;;;;
48;Из общей численности педагогических работников (строка 06):             персонал, работающий в подразделениях (группах)             дошкольного образования;621;58;36;65;84;95;283;618;84;50;81;79;79;245;3
49;из них воспитатели;515;47;28;53;71;82;234;512;73;41;65;65;60;208;3
50;персонал, работающий в классах очно-заочного и заочного             обучения, учебно-консультационных пунктах;19;;;;;1;18;19;;;;2;2;15;
51;из них учителя;18;;;;;1;17;18;;;;1;2;15;
;;;;;;;;;;;;;;;;
;;Данные графы 3 по строкам 01–51 равны данным графы 3 подраздела 3.1 по соответствующим строкам 01-51.;;;;;;;;;;;;;;
