;;;;
;;;;
;;;;
;;;;
;;;;
1;2;3;4;5
№ строки;Наименование показателей;Всего, человек;Из гр.3 женщины;Численность работников в пересчете на полную занятость, единиц
1;Численность работников – всего (сумма строк 02, 03, 40,41);734;476;406.7
2;в том числе:       руководящие работники – всего;6;3;4.5
3;педагогические работники - всего (сумма строк 04, 27, 28, 32-39);494;348;282.6
4;в том числе:          учителя–всего (сумма строк 05-15, 20-26);295;220;173.4
5;в том числе:                учителя, осуществляющие деятельность по реализации                программ начального общего образования;57;56;28.5
6;русского языка и литературы;11;11;8
7;языка народов России и литературы;;;
8;истории, экономики, права, обществознания;14;10;5.5
9;информатики;32;11;13.9
10;физики;17;10;9.7
11;математики;11;11;8.6
12;химии;12;11;7.2
13;географии;5;5;2.9
14;биологии;16;16;8.1
15;иностранных языков;26;25;11.5
16;из них:                      английского языка;18;17;8.2
17;немецкого языка;5;5;1.6
18;французского языка;1;1;1
19;китайского языка;;;
20;физической культуры;25;7;13.1
21;труда (технологии);13;4;8.8
22;музыки и пения;27;27;12
23;изобразительного искусства, черчения;4;4;1.9
24;основ безопасности и защиты Родины;8;;3.6
25;основ духовно-нравственной культуры народов России;1;1;0.1
26;прочих предметов;16;11;3.5
27;учителя-логопеды;23;23;12.2
28;учителя-дефектологи;21;19;8.8
29;из них:                олигофренопедагог;4;3;1.2
30;тифлопедагог;;;
31;сурдопедагог;;;
32;социальные педагоги;1;1;0.5
33;педагоги дополнительного образования;103;50;52.2
34;педагоги-психологи;5;4;4
35;воспитатели;5;5;3.5
36;мастера производственного обучения;;;
37;тьюторы;7;6;0.6
38;советники директора по воспитанию и взаимодействию          с детскими общественными объединениям;5;4;2
39;другие;29;16;14.5
40;учебно-вспомогательный персонал;25;16;6.7
41;иной персонал;209;109;114.3
42;из них:             ассистент(помощник);;;
43;сурдопереводчик;;;
44;тифлосурдопереводчик;;;
45;Из общей численности педагогических работников (стр.03):    персонал, работающий в подразделениях (группах)    дошкольного образования;8;6;2.8
46;из них воспитатели;3;3;1.6
47;персонал , работающий в классах очно-заочного и заочного       обучения, учебно-консультационных пунктах;;;
48;из них учителя;;;
49;Из общей численности учителей (из строки 04 графы 3) - работники организаций - всего;18;;
50;Из общей численности мастеров производственного обучения (из строки 36 графы 3) - работники организаций – всего;;;
51;Из общей численности учителей-дефектологов (стр.28 гр.3) - учителя, имеющие специальное дефектологическое образование;7;;
52;Справочно. Код по ОКЕИ: человек – 792  Кроме того (кроме строки 01), численность медицинских работников (сумма строк 54-55);22;;
53;из них женщин;19;;
54;в том числе:          врачи всех специальностей;14;;
55;медицинские сестры;8;;
56;.Из строки 04 графы 3 – численность учителей, использующих в учебном процессе персональные компьютеры;144;;
