;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
1;2;3;4;5;6
№ строки;Профили предпрофессионального обучения;Число 8–9 классов профильного предпрофессиональ-ного обучения, ед.;Число 10–11 классов профильного предпрофессиональ-ного обучения, ед.;Численность обучающихся в 8–9 классах профильного предпрофессиональ-ного обучения, чел.;Численность обучающихся в 10–11 классах профильного предпрофессиональ-ного обучения, чел.
1;Всего (сумма строк 02–10);4;13;144;278
2;в том числе       инженерные;;2;;46
3;медицинские;;;;
4;космические;;;;
5;педагогические;;;;
6;аграрные;;;;
7;предпринимательские;;;;
8;кадетские;;;;
9;IT-классы;;;;
10;другие;4;11;144;232
